Entity,Code,Year,Temperature anomaly
Antarctica (NIAID),,1940,-2.0082662
Antarctica (NIAID),,1941,-1.1918163
Antarctica (NIAID),,1942,-1.8663388
Antarctica (NIAID),,1943,-1.3171363
Antarctica (NIAID),,1944,-1.1931677
Antarctica (NIAID),,1945,-0.36286625
Antarctica (NIAID),,1946,-1.0487628
Antarctica (NIAID),,1947,-0.7512374
Antarctica (NIAID),,1948,-1.3812928
Antarctica (NIAID),,1949,-0.41323948
Antarctica (NIAID),,1950,-1.1324137
Antarctica (NIAID),,1951,-1.5360827
Antarctica (NIAID),,1952,-2.289325
Antarctica (NIAID),,1953,-1.4568623
Antarctica (NIAID),,1954,-2.100844
Antarctica (NIAID),,1955,-1.0171212
Antarctica (NIAID),,1956,-0.58251876
Antarctica (NIAID),,1957,-0.82311934
Antarctica (NIAID),,1958,-1.3772821
Antarctica (NIAID),,1959,-0.9449927
Antarctica (NIAID),,1960,-1.9450012
Antarctica (NIAID),,1961,-0.81294364
Antarctica (NIAID),,1962,-1.3291105
Antarctica (NIAID),,1963,-0.82784814
Antarctica (NIAID),,1964,-1.2134985
Antarctica (NIAID),,1965,-0.7588933
Antarctica (NIAID),,1966,-0.44746447
Antarctica (NIAID),,1967,-0.6648922
Antarctica (NIAID),,1968,-0.9447581
Antarctica (NIAID),,1969,-1.1320777
Antarctica (NIAID),,1970,-0.6468918
Antarctica (NIAID),,1971,-0.29094124
Antarctica (NIAID),,1972,-0.030747095
Antarctica (NIAID),,1973,-0.29559755
Antarctica (NIAID),,1974,-0.63599414
Antarctica (NIAID),,1975,-1.3156816
Antarctica (NIAID),,1976,-1.5721582
Antarctica (NIAID),,1977,-1.2132736
Antarctica (NIAID),,1978,-1.1250978
Antarctica (NIAID),,1979,-0.65299416
Antarctica (NIAID),,1980,0.87547463
Antarctica (NIAID),,1981,0.66232824
Antarctica (NIAID),,1982,-0.37335125
Antarctica (NIAID),,1983,-0.38109526
Antarctica (NIAID),,1984,0.16837294
Antarctica (NIAID),,1985,-0.6028865
Antarctica (NIAID),,1986,-0.14901781
Antarctica (NIAID),,1987,-0.5398159
Antarctica (NIAID),,1988,0.20526426
Antarctica (NIAID),,1989,-0.34637514
Antarctica (NIAID),,1990,0.15002696
Antarctica (NIAID),,1991,0.74320954
Antarctica (NIAID),,1992,-0.008698463
Antarctica (NIAID),,1993,-0.84554785
Antarctica (NIAID),,1994,-0.74754685
Antarctica (NIAID),,1995,-0.388436
Antarctica (NIAID),,1996,0.4092072
Antarctica (NIAID),,1997,-0.6746685
Antarctica (NIAID),,1998,-0.5655615
Antarctica (NIAID),,1999,-0.63213253
Antarctica (NIAID),,2000,-0.3795519
Antarctica (NIAID),,2001,-0.08716313
Antarctica (NIAID),,2002,0.71220493
Antarctica (NIAID),,2003,-0.11535692
Antarctica (NIAID),,2004,-0.2730228
Antarctica (NIAID),,2005,0.28281975
Antarctica (NIAID),,2006,-0.15108792
Antarctica (NIAID),,2007,0.5814276
Antarctica (NIAID),,2008,-0.39587864
Antarctica (NIAID),,2009,0.6385725
Antarctica (NIAID),,2010,-0.44034228
Antarctica (NIAID),,2011,0.5825332
Antarctica (NIAID),,2012,-0.33910942
Antarctica (NIAID),,2013,0.4515438
Antarctica (NIAID),,2014,-0.07441028
Antarctica (NIAID),,2015,-0.47459045
Antarctica (NIAID),,2016,0.13985395
Antarctica (NIAID),,2017,0.02071762
Antarctica (NIAID),,2018,0.7436474
Antarctica (NIAID),,2019,0.46095943
Antarctica (NIAID),,2020,0.82638043
Antarctica (NIAID),,2021,0.04579671
Antarctica (NIAID),,2022,0.5656514
Antarctica (NIAID),,2023,0.44593415
Antarctica (NIAID),,2024,0.6795049
Antarctica (NIAID),,2025,1.3796806
Australia,AUS,1940,0.38593546
Australia,AUS,1941,-0.31617156
Australia,AUS,1942,-0.095685005
Australia,AUS,1943,-0.647455
Australia,AUS,1944,-0.16411288
Australia,AUS,1945,-0.33790565
Australia,AUS,1946,-0.364791
Australia,AUS,1947,-0.2942976
Australia,AUS,1948,-0.4657227
Australia,AUS,1949,-1.0856711
Australia,AUS,1950,-0.3904636
Australia,AUS,1951,-0.0435005
Australia,AUS,1952,-0.303859
Australia,AUS,1953,-0.29831815
Australia,AUS,1954,-0.20405786
Australia,AUS,1955,-0.46830449
Australia,AUS,1956,-0.94839305
Australia,AUS,1957,0.104469694
Australia,AUS,1958,0.34618726
Australia,AUS,1959,0.27605876
Australia,AUS,1960,-0.60885626
Australia,AUS,1961,0.1565694
Australia,AUS,1962,-0.12857158
Australia,AUS,1963,-0.38076082
Australia,AUS,1964,-0.34422478
Australia,AUS,1965,0.09392444
Australia,AUS,1966,-0.61003757
Australia,AUS,1967,-0.42872372
Australia,AUS,1968,-0.7852722
Australia,AUS,1969,-0.23369963
Australia,AUS,1970,-0.27044868
Australia,AUS,1971,-0.6116076
Australia,AUS,1972,-0.18502347
Australia,AUS,1973,-0.12978093
Australia,AUS,1974,-1.5830919
Australia,AUS,1975,-0.93849045
Australia,AUS,1976,-1.2122774
Australia,AUS,1977,-0.522157
Australia,AUS,1978,-0.8228976
Australia,AUS,1979,-0.11699454
Australia,AUS,1980,0.3096024
Australia,AUS,1981,-0.19139831
Australia,AUS,1982,-0.35120663
Australia,AUS,1983,-0.087845005
Australia,AUS,1984,-0.78988093
Australia,AUS,1985,-0.21229458
Australia,AUS,1986,-0.17870784
Australia,AUS,1987,-0.21723287
Australia,AUS,1988,0.29921976
Australia,AUS,1989,-0.47389707
Australia,AUS,1990,0.07401252
Australia,AUS,1991,0.1624531
Australia,AUS,1992,-0.5004754
Australia,AUS,1993,-0.19126089
Australia,AUS,1994,-0.13755496
Australia,AUS,1995,-0.42722073
Australia,AUS,1996,0.047048014
Australia,AUS,1997,-0.2390337
Australia,AUS,1998,0.28332654
Australia,AUS,1999,-0.416468
Australia,AUS,2000,-0.87973803
Australia,AUS,2001,-0.7090957
Australia,AUS,2002,0.14271243
Australia,AUS,2003,0.057614487
Australia,AUS,2004,-0.089241266
Australia,AUS,2005,0.56028813
Australia,AUS,2006,-0.12183905
Australia,AUS,2007,0.10473641
Australia,AUS,2008,-0.15824087
Australia,AUS,2009,0.32721806
Australia,AUS,2010,-0.41536865
Australia,AUS,2011,-0.8193019
Australia,AUS,2012,-0.42759028
Australia,AUS,2013,0.7300677
Australia,AUS,2014,0.42760572
Australia,AUS,2015,0.33910608
Australia,AUS,2016,0.23438875
Australia,AUS,2017,0.30765486
Australia,AUS,2018,0.4358829
Australia,AUS,2019,0.9589096
Australia,AUS,2020,0.41342625
Australia,AUS,2021,-0.20268767
Australia,AUS,2022,-0.2931966
Australia,AUS,2023,0.25953183
Australia,AUS,2024,0.6231515
Australia,AUS,2025,0.4715983
China,CHN,1940,-1.154482
China,CHN,1941,-0.71813697
China,CHN,1942,-0.46852657
China,CHN,1943,-0.55649966
China,CHN,1944,-0.6240137
China,CHN,1945,-1.0119834
China,CHN,1946,-0.076714955
China,CHN,1947,-0.6715756
China,CHN,1948,-0.4012642
China,CHN,1949,-0.21836726
China,CHN,1950,-0.57213414
China,CHN,1951,-0.76735616
China,CHN,1952,-0.8493011
China,CHN,1953,-0.27385762
China,CHN,1954,-1.1451346
China,CHN,1955,-1.0070354
China,CHN,1956,-1.4664854
China,CHN,1957,-1.5566678
China,CHN,1958,-0.6894457
China,CHN,1959,-0.72913724
China,CHN,1960,-0.75992304
China,CHN,1961,-0.7079025
China,CHN,1962,-1.0299715
China,CHN,1963,-0.74985725
China,CHN,1964,-0.87131065
China,CHN,1965,-1.0098993
China,CHN,1966,-0.99039
China,CHN,1967,-1.4213682
China,CHN,1968,-1.1050317
China,CHN,1969,-1.2076387
China,CHN,1970,-1.2460601
China,CHN,1971,-0.99718255
China,CHN,1972,-1.0577315
China,CHN,1973,-0.68700856
China,CHN,1974,-1.0928293
China,CHN,1975,-0.6251766
China,CHN,1976,-1.2699074
China,CHN,1977,-1.0550675
China,CHN,1978,-0.7403095
China,CHN,1979,-0.75690395
China,CHN,1980,-0.85558754
China,CHN,1981,-0.82797027
China,CHN,1982,-0.62328476
China,CHN,1983,-0.91554517
China,CHN,1984,-1.1351922
China,CHN,1985,-1.0769286
China,CHN,1986,-0.91544867
China,CHN,1987,-0.4299505
China,CHN,1988,-0.47408906
China,CHN,1989,-0.59258777
China,CHN,1990,-0.20667507
China,CHN,1991,-0.51359624
China,CHN,1992,-0.7825324
China,CHN,1993,-0.6461491
China,CHN,1994,-0.036646504
China,CHN,1995,-0.37722662
