YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1931,27.05,29.65,30.75,31.75,31.55,30.65,29.65,29.25,29.15,27.75,27.75,27.05,27.97,31.35,29.85,28.22,29.35
1932,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1933,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1934,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1935,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1936,25.95,27.75,29.45,31.15,31.05,29.85,29.45,29.05,28.85,27.65,27.25,27.95,26.47,30.55,29.45,27.92,28.60
1937,27.55,28.85,31.15,31.66,29.86,29.86,29.16,29.36,28.76,28.06,28.16,26.46,28.12,30.89,29.46,28.33,29.20
1938,27.36,28.76,30.06,30.56,30.06,28.56,28.66,29.86,28.86,29.06,26.86,26.86,27.53,30.23,29.03,28.26,28.76
1939,26.96,28.26,29.36,31.06,30.36,29.36,29.26,29.56,28.96,28.66,28.36,23.45,27.36,30.26,29.39,28.66,28.92
1940,24.55,28.55,30.35,32.25,31.15,30.05,29.25,29.15,29.05,28.95,28.45,27.35,25.52,31.25,29.48,28.82,28.77
1941,30.02,29.22,31.12,32.32,31.02,30.22,29.72,29.82,29.62,28.72,28.72,27.71,28.86,31.49,29.92,29.02,29.82
1942,26.51,29.21,30.61,31.01,30.31,30.11,29.71,29.41,29.11,28.81,28.11,26.90,27.81,30.64,29.74,28.68,29.22
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1944,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1945,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,26.07,28.77,29.67,30.27,29.77,29.77,29.37,29.17,29.07,28.17,25.77,27.16,27.04,29.90,29.44,27.67,28.51
1949,25.46,27.96,29.76,30.36,30.36,30.06,29.16,29.16,29.26,28.66,27.76,27.36,26.86,30.16,29.46,28.56,28.76
1950,27.36,29.06,30.16,30.16,29.86,29.66,29.16,29.46,28.96,28.26,27.76,24.75,27.93,30.06,29.43,28.33,28.93
1951,26.76,28.09,29.97,31.46,29.96,29.27,29.25,29.25,29.05,28.52,28.38,26.76,26.53,30.46,29.26,28.65,28.73
1952,27.72,29.36,30.01,31.02,30.63,29.59,29.45,28.89,29.09,28.51,28.55,25.46,27.95,30.55,29.31,28.72,29.13
1953,26.83,28.33,29.84,31.07,30.22,29.43,29.28,28.72,29.02,29.19,27.64,26.62,26.87,30.38,29.14,28.62,28.75
1954,28.73,28.58,29.94,31.10,29.83,29.92,29.32,29.18,28.46,28.56,27.02,25.86,27.98,30.29,29.47,28.01,28.94
1955,25.40,28.05,29.55,30.45,30.26,29.24,29.46,29.21,28.81,28.44,26.43,25.39,26.44,30.09,29.30,27.89,28.43
1956,25.63,28.85,30.47,30.28,29.74,29.60,29.11,29.02,28.58,28.52,26.30,25.76,26.62,30.16,29.24,27.80,28.46
1957,27.04,28.05,29.83,30.94,31.73,29.78,29.41,28.90,28.59,28.19,28.38,27.51,26.95,30.83,29.36,28.39,28.88
1958,27.67,28.20,30.47,31.73,32.42,30.81,29.57,29.16,28.69,28.43,26.97,25.80,27.79,31.54,29.85,28.03,29.30
1959,26.83,29.47,29.58,31.57,30.55,30.64,28.83,29.22,28.76,28.47,28.41,28.69,27.37,30.57,29.56,28.55,29.01
1960,27.58,28.76,30.92,32.45,31.30,30.24,29.64,29.51,28.87,28.46,28.49,26.46,28.34,31.56,29.80,28.61,29.58
1961,26.21,28.46,29.68,31.04,29.74,29.04,28.77,28.79,28.55,28.36,28.64,27.39,27.04,30.15,28.87,28.52,28.65
1962,26.20,27.24,29.95,31.16,30.68,29.46,29.27,28.86,28.21,28.48,28.05,25.68,26.94,30.60,29.20,28.25,28.75
1963,23.95,28.01,29.38,30.61,31.34,29.64,28.91,28.73,28.65,28.39,28.67,26.74,25.88,30.44,29.09,28.57,28.50
1964,28.94,29.09,29.99,31.37,29.54,29.61,29.18,28.75,28.55,28.92,26.56,25.80,28.26,30.30,29.18,28.01,28.94
1965,25.89,28.91,29.55,30.70,29.96,29.45,29.39,999.90,999.90,999.90,999.90,999.90,26.87,30.07,29.29,999.90,28.55
1966,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1967,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1968,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1969,28.78,29.13,30.65,31.50,31.04,29.97,29.16,29.10,28.78,29.10,27.08,25.60,28.57,31.06,29.41,28.32,29.34
