YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-4.24,999.90,999.90,999.90,999.90,999.90
1881,-4.74,-4.44,2.96,11.96,20.16,23.56,27.26,24.46,19.56,12.26,3.76,-3.54,-4.47,11.69,25.09,11.86,11.04
1882,-3.24,-1.34,4.96,15.06,20.66,25.16,26.16,24.06,18.96,12.86,2.66,-5.44,-2.71,13.56,25.13,11.49,11.87
1883,-5.04,-2.24,4.26,11.96,18.36,25.46,24.56,24.46,17.36,12.86,1.16,-2.04,-4.24,11.53,24.83,10.46,10.64
1884,-4.04,-2.94,2.46,12.66,19.46,25.06,24.56,22.66,19.56,999.90,999.90,999.90,-3.01,11.53,24.09,999.90,11.02
1885,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1886,999.90,-4.94,4.36,13.56,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,12.44,999.90,999.90,999.90
1887,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1888,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1889,999.90,999.90,999.90,999.90,18.66,24.46,24.66,24.16,18.06,11.46,1.76,-2.84,999.90,999.90,24.43,10.43,999.90
1890,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1891,-5.94,-0.74,5.76,11.86,21.96,23.76,24.66,24.06,20.16,14.16,2.06,-2.74,-3.17,13.19,24.16,12.13,11.58
1892,-6.04,-3.94,0.56,13.86,20.06,25.06,24.46,23.46,18.06,11.56,2.06,-3.44,-4.24,11.49,24.33,10.56,10.54
1893,-8.54,-3.74,4.46,14.06,17.76,22.46,25.06,23.86,19.16,11.06,2.56,-2.53,-5.24,12.09,23.79,10.93,10.39
1894,-4.63,-1.14,5.16,13.96,19.96,24.36,25.26,23.86,19.76,12.96,3.66,-3.04,-2.77,13.03,24.49,12.13,11.72
1895,-6.74,-5.44,1.16,14.06,18.26,22.76,24.56,23.16,18.86,12.46,3.66,-2.64,-5.07,11.16,23.49,11.66,10.31
1896,-4.54,-3.24,1.56,11.96,19.16,24.26,24.36,23.76,18.46,11.46,5.56,-3.14,-3.47,10.89,24.13,11.83,10.84
1897,-6.84,-4.34,1.96,11.66,18.96,23.76,25.26,25.06,19.66,13.06,4.36,-6.84,-4.77,10.86,24.69,12.36,10.79
1898,-2.94,-0.84,-0.04,13.06,21.36,25.06,25.46,23.86,18.16,12.86,4.96,-0.94,-3.54,11.46,24.79,11.99,11.18
1899,-4.54,-1.44,5.26,13.46,20.46,25.16,25.46,24.56,20.46,11.36,3.66,-3.74,-2.31,13.06,25.06,11.83,11.91
1900,-8.04,-2.04,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-4.61,999.90,999.90,999.90,999.90
1901,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1902,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1903,999.90,999.90,999.90,999.90,20.16,23.46,27.26,25.66,19.26,10.86,2.56,-3.44,999.90,999.90,25.46,10.89,999.90
1904,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1905,-2.24,-4.04,2.76,9.86,18.86,23.66,25.96,24.66,19.96,11.26,2.96,-1.94,-2.97,10.49,24.76,11.39,10.92
1906,-5.94,-4.54,5.66,14.06,20.06,26.16,26.06,23.46,18.76,12.06,0.66,-2.24,-4.14,13.26,25.23,10.49,11.21
1907,-2.34,-4.94,3.86,13.56,20.66,25.26,25.36,25.06,19.86,13.26,1.26,-4.14,-3.17,12.69,25.23,11.46,11.55
1908,-7.24,-4.24,2.76,12.06,20.36,24.76,24.86,24.96,18.36,12.86,3.66,-1.04,-5.21,11.73,24.86,11.63,10.75
1909,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1910,-6.24,-2.14,3.16,12.66,20.76,23.16,26.66,24.36,17.76,12.36,1.86,-5.44,-4.02,12.19,24.73,10.66,10.89
1911,-6.14,-3.24,2.66,11.46,19.06,23.56,24.16,23.86,19.96,11.86,2.96,-5.13,-4.94,11.06,23.86,11.59,10.39
1912,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1913,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1914,-2.74,-0.84,5.26,13.46,20.86,24.36,24.86,24.36,19.16,13.36,2.76,-3.24,-1.62,13.19,24.53,11.76,11.96
1915,999.90,999.90,999.90,12.06,18.60,22.51,25.36,24.61,18.51,12.96,5.61,-0.64,999.90,11.49,24.16,12.36,11.15
1916,-2.89,-1.54,3.26,11.61,19.91,25.66,26.46,24.26,19.10,12.51,4.31,-4.47,-1.69,11.59,25.46,11.97,11.83
1917,-7.07,-1.72,5.03,13.58,18.43,25.42,26.23,24.98,18.53,12.33,3.83,999.90,-4.42,12.35,25.54,11.56,11.26
1918,-3.55,-0.21,5.95,13.25,17.60,23.40,25.20,24.10,20.05,13.00,2.95,-5.13,-1.71,12.27,24.23,12.00,11.70
1919,-7.48,0.41,6.42,13.92,20.12,25.12,25.82,26.42,20.27,12.62,4.12,-2.66,-4.07,13.49,25.79,12.34,11.89
1920,-3.56,-4.40,6.19,15.49,21.69,24.48,27.69,26.34,19.09,15.68,5.64,-2.44,-3.54,14.46,26.17,13.47,12.64
1921,-2.75,-0.10,4.55,12.69,19.25,23.35,26.55,24.85,21.15,13.35,5.65,-2.03,-1.76,12.16,24.92,13.38,12.18
1922,-7.68,-0.08,4.97,15.52,18.77,26.17,27.02,25.72,19.42,13.57,2.46,-1.56,-3.26,13.09,26.30,11.82,11.99
1923,-4.81,-1.65,5.84,12.19,20.09,24.59,26.74,25.69,20.19,12.79,2.74,-2.04,-2.67,12.71,25.67,11.91,11.90
1924,-2.58,-1.79,3.26,13.31,21.46,25.36,25.26,25.66,21.06,12.21,3.26,-2.02,-2.14,12.68,25.43,12.18,12.04
1925,-3.77,-2.07,3.92,13.27,18.38,23.07,25.78,24.63,20.93,14.83,6.08,-2.44,-2.62,11.86,24.49,13.95,11.92
1926,-2.70,999.90,6.45,999.90,20.15,24.55,26.80,26.70,20.60,13.45,5.89,999.90,-1.97,13.66,26.02,13.31,12.75
1927,999.90,999.90,999.90,999.90,999.90,999.90,27.22,25.67,21.67,999.90,7.77,-2.41,999.90,999.90,26.05,15.00,999.90
1928,999.90,-2.11,5.99,14.19,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-3.03,13.57,999.90,999.90,999.90
1929,-4.44,999.90,999.90,999.90,999.90,999.90,26.61,25.21,20.86,13.31,4.11,-3.92,999.90,999.90,25.52,12.76,999.90
1930,-4.47,-0.31,7.43,14.33,20.43,25.63,27.48,25.23,20.63,13.87,2.33,-1.45,-2.90,14.06,26.11,12.28,12.39
1931,-4.20,-3.70,6.10,12.00,19.30,25.10,26.05,25.80,20.60,12.50,4.80,-2.88,-3.12,12.47,25.65,12.63,11.91
1932,-1.53,-2.98,3.52,12.72,20.52,24.12,26.12,25.46,20.32,12.52,4.72,-0.40,-2.46,12.25,25.23,12.52,11.89
1933,-5.91,-1.96,2.23,12.49,20.14,22.14,26.14,24.44,20.84,12.39,3.84,-0.98,-2.76,11.62,24.24,12.36,11.37
1934,-5.49,0.61,3.66,11.46,20.41,23.46,26.91,23.96,19.70,11.91,4.41,-0.11,-1.95,11.84,24.78,12.01,11.67
1935,-2.92,1.68,7.63,14.28,19.97,23.93,26.58,25.77,21.93,14.88,3.23,-6.05,-0.45,13.96,25.43,13.35,13.07
1936,-7.30,-4.74,1.75,12.15,19.55,25.50,27.40,25.85,20.79,14.25,4.15,-1.89,-6.03,11.15,26.25,13.06,11.11
1937,-3.69,-0.63,3.56,12.21,21.06,24.66,26.76,25.96,999.90,999.90,999.90,999.90,-2.07,12.28,25.79,999.90,12.15
1938,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1939,-4.90,-1.30,5.20,14.00,19.50,24.30,26.60,27.20,19.30,12.40,2.60,-1.70,-2.93,12.90,26.03,11.43,11.86
1940,-5.90,-1.34,6.30,13.85,20.70,23.50,26.75,22.70,20.34,14.04,4.45,-1.30,-2.98,13.62,24.32,12.94,11.97
1941,-4.00,-2.35,6.00,12.25,20.35,23.95,26.60,25.40,21.09,13.10,5.25,-1.25,-2.55,12.87,25.32,13.15,12.20
1942,-4.00,-3.35,7.65,14.20,19.10,27.05,27.45,25.15,20.80,12.75,5.64,-1.70,-2.87,13.65,26.55,13.06,12.60
1943,-5.65,-0.65,6.70,13.70,20.90,26.45,27.70,25.95,19.75,14.55,4.94,-1.39,-2.67,13.77,26.70,13.08,12.72
1944,-2.54,-1.34,5.75,13.04,19.25,25.65,27.85,25.09,21.30,13.30,3.80,-5.86,-1.76,12.68,26.20,12.80,12.48
1945,-5.61,-4.20,4.39,16.49,19.59,25.64,27.64,26.64,20.89,14.03,7.34,-1.20,-5.22,13.49,26.64,14.09,12.25
1946,-2.75,0.24,3.14,14.49,18.99,26.63,27.49,25.89,20.84,14.59,6.39,-4.15,-1.24,12.21,26.67,13.94,12.90
1947,-6.11,-4.71,2.44,14.89,19.89,24.09,26.29,25.04,18.94,11.94,1.03,-5.81,-4.99,12.41,25.14,10.64,10.80
1948,-4.45,-0.40,5.69,15.94,18.83,25.64,26.09,25.64,20.49,12.49,3.14,-0.21,-3.55,13.49,25.79,12.04,11.94
1949,-2.40,0.84,5.49,14.09,20.84,24.69,24.49,25.19,19.64,14.04,5.29,-3.66,-0.59,13.47,24.79,12.99,12.67
1950,-3.06,-0.46,6.63,13.64,18.64,23.39,25.79,25.39,19.84,13.44,3.39,-1.72,-2.39,12.97,24.86,12.22,11.91
1951,-6.61,-1.66,4.45,12.22,20.77,25.09,26.12,25.95,18.39,13.95,5.07,1.35,-3.33,12.48,25.72,12.47,11.84
1952,-2.47,-4.36,4.53,14.06,21.01,25.46,26.67,24.66,20.31,12.72,3.94,-5.25,-1.83,13.20,25.60,12.32,12.32
1953,-5.67,-3.52,7.07,13.18,18.68,23.93,26.62,24.15,20.42,14.99,4.21,-2.09,-4.81,12.98,24.90,13.21,11.57
1954,-3.06,-0.21,3.92,13.51,19.10,22.45,24.04,24.95,19.87,12.66,6.45,-5.22,-1.79,12.18,23.81,12.99,11.80
1955,-4.18,-0.29,2.22,13.50,20.04,24.66,26.92,25.89,20.62,11.85,5.20,-0.20,-3.23,11.92,25.82,12.56,11.77
1956,-3.67,-2.60,3.12,12.77,18.18,22.49,26.05,24.50,20.80,11.96,1.58,-5.34,-2.16,11.36,24.35,11.45,11.25
1957,-5.16,-5.64,2.16,13.31,20.30,23.10,25.70,24.77,18.20,13.26,6.20,-1.52,-5.38,11.92,24.52,12.55,10.91
1958,-4.78,-1.12,4.36,13.59,20.00,24.97,26.50,24.24,20.64,11.96,4.94,0.98,-2.47,12.65,25.24,12.51,11.98
1959,-3.86,0.69,7.86,13.39,20.51,23.56,26.12,25.00,19.43,14.05,2.94,-1.30,-0.73,13.92,24.89,12.14,12.56
1960,-5.34,2.89,6.07,13.62,18.75,25.41,26.98,25.37,20.57,12.77,4.01,-3.27,-1.25,12.81,25.92,12.45,12.48
1961,-3.35,1.47,7.65,14.77,20.72,25.13,27.95,25.18,19.48,12.24,6.69,-2.55,-1.72,14.38,26.09,12.80,12.89
1962,-2.51,-0.38,4.86,12.76,20.76,23.72,26.62,25.97,20.70,12.79,3.76,0.58,-1.81,12.79,25.44,12.42,12.21
1963,-3.86,-0.65,7.16,12.46,19.47,25.90,27.35,25.91,20.36,12.48,5.27,-1.64,-1.31,13.03,26.39,12.70,12.70
1964,-2.74,-4.84,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-3.07,999.90,999.90,999.90,999.90
1965,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1966,-4.82,-1.46,4.34,12.84,20.04,24.38,26.25,25.64,19.63,13.84,4.65,-4.06,-2.97,12.41,25.42,12.71,11.89
1967,-3.80,-2.54,5.89,13.37,22.18,24.18,26.16,26.06,19.08,13.76,2.84,-5.31,-3.47,13.81,25.47,11.89,11.93
1968,-4.80,-3.89,6.44,14.65,20.61,26.02,27.60,24.78,20.58,12.06,5.06,-1.03,-4.67,13.90,26.13,12.57,11.98
1969,-5.91,-4.62,2.84,13.42,19.67,23.57,24.98,24.57,20.35,13.24,3.67,-2.59,-3.85,11.98,24.37,12.42,11.23
1970,-4.66,-1.20,2.27,14.08,19.89,23.24,25.74,24.40,19.87,13.81,4.04,-2.16,-2.82,12.08,24.46,12.57,11.57
1971,-3.27,-2.27,2.24,13.31,19.79,24.29,26.40,24.44,20.14,13.51,7.17,-2.85,-2.57,11.78,25.04,13.61,11.97
1972,-4.20,-3.38,5.94,13.98,18.67,26.03,27.64,24.58,19.37,12.73,4.37,-1.24,-3.48,12.86,26.08,12.16,11.91
1973,-3.57,-1.75,7.01,15.04,18.84,23.05,25.63,25.22,20.32,12.04,5.23,-0.77,-2.19,13.63,24.63,12.53,12.15
1974,-3.13,-1.53,4.88,13.64,19.60,23.46,25.96,25.32,19.66,11.82,4.41,-2.85,-1.81,12.71,24.91,11.96,11.94
1975,-2.26,-0.85,6.90,14.83,19.08,24.65,26.94,25.80,21.42,14.02,6.50,-1.69,-1.99,13.60,25.80,13.98,12.85
1976,-2.91,1.07,4.67,11.87,18.73,23.05,24.59,23.89,20.08,12.57,2.87,-1.52,-1.18,11.76,23.84,11.84,11.57
1977,-6.95,-1.35,7.08,14.71,18.73,23.15,26.64,24.90,20.52,14.13,5.59,0.28,-3.27,13.51,24.90,13.41,12.14
1978,-2.66,-1.34,5.34,14.11,18.80,25.15,26.57,24.70,20.07,13.09,6.15,-1.72,-1.24,12.75,25.47,13.10,12.52
1979,-3.17,0.50,5.53,11.16,18.53,23.21,25.92,24.26,18.97,15.04,3.40,-0.41,-1.46,11.74,24.46,12.47,11.80
1980,-3.72,-2.12,4.98,11.12,19.52,24.88,26.96,24.68,19.04,12.45,7.16,-2.73,-2.08,11.87,25.51,12.88,12.05
1981,-4.57,-1.34,7.24,15.73,19.85,25.19,27.65,24.79,20.49,11.34,2.49,-1.21,-2.88,14.27,25.88,11.44,12.18
1982,-3.97,0.77,6.90,15.33,21.12,23.80,24.92,25.88,20.12,15.18,5.27,-1.39,-1.47,14.45,24.87,13.52,12.84
1983,-2.67,-1.94,6.89,14.40,21.02,25.10,27.20,25.11,21.73,13.32,5.86,0.32,-2.00,14.10,25.80,13.64,12.89
1984,-4.33,-2.33,3.60,12.75,20.18,24.57,26.76,25.22,19.66,13.36,4.95,-3.20,-2.11,12.18,25.52,12.66,12.06
1985,-5.02,-2.02,3.20,14.24,19.41,24.02,25.50,25.08,18.70,13.74,3.93,-3.66,-3.41,12.28,24.87,12.12,11.47
1986,-3.51,-1.67,6.81,14.52,20.61,24.74,24.96,24.62,19.76,11.46,3.55,-1.70,-2.95,13.98,24.77,11.59,11.85
1987,-3.81,0.36,3.98,13.32,19.55,23.07,26.52,24.82,21.02,13.62,4.02,0.00,-1.72,12.28,24.80,12.89,12.06
1988,-2.86,-1.32,4.18,14.61,19.90,24.80,25.97,24.60,21.34,14.24,6.81,-0.15,-1.39,12.90,25.12,14.13,12.69
1989,-1.87,1.62,8.05,15.46,20.69,24.53,25.52,25.01,19.42,13.75,4.73,-0.10,-0.13,14.73,25.02,12.63,13.06
1990,-5.02,-0.59,7.47,13.18,19.44,24.43,25.67,25.41,20.35,15.39,6.58,-0.74,-1.90,13.36,25.17,14.11,12.68
1991,-2.27,-0.20,4.35,13.63,19.17,23.96,25.71,26.96,20.34,13.76,4.46,-1.82,-1.07,12.38,25.54,12.85,12.43
1992,-1.28,1.47,6.11,14.69,19.65,23.04,26.17,24.29,19.99,11.85,3.09,-0.50,-0.54,13.48,24.50,11.64,12.27
1993,-3.83,1.41,7.28,13.36,20.47,24.77,24.78,24.70,20.69,13.20,3.42,-1.02,-0.97,13.70,24.75,12.44,12.48
