YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1918,999.90,999.90,-4.36,4.33,13.29,13.30,19.09,17.30,11.01,6.96,-0.39,-6.52,999.90,4.42,16.56,5.86,4.56
1919,-8.30,-8.87,-1.50,2.78,9.86,18.12,19.57,15.49,11.65,5.69,-0.77,-10.39,-7.90,3.71,17.73,5.52,4.77
1920,-16.07,-10.43,-2.83,2.41,9.55,15.60,17.54,19.36,13.46,9.73,-2.66,-6.55,-12.30,3.04,17.50,6.84,3.77
1921,-9.77,-9.14,1.01,7.50,11.77,15.20,21.68,16.31,14.05,6.83,-2.80,-9.95,-8.49,6.76,17.73,6.03,5.51
1922,-12.87,-10.43,-2.08,4.30,11.84,16.43,18.68,17.14,13.39,5.97,0.12,-9.94,-11.08,4.69,17.42,6.49,4.38
1923,-13.43,-14.19,-7.37,2.96,9.76,15.80,16.69,15.33,13.75,6.90,0.19,-3.57,-12.52,1.78,15.94,6.95,3.04
1924,-9.64,-12.60,-2.88,2.71,8.80,14.34,18.08,17.32,11.79,6.86,-0.44,-9.94,-8.60,2.88,16.58,6.07,4.23
1925,-13.29,-5.47,-1.50,4.70,8.77,16.66,17.12,16.49,11.54,2.05,-1.18,-8.09,-9.57,3.99,16.76,4.14,3.83
1926,-10.68,-11.41,-7.82,0.00,8.60,13.83,17.69,16.76,12.08,5.97,-0.33,-10.35,-10.06,0.26,16.09,5.91,3.05
1927,-9.58,-8.16,-1.25,3.33,8.57,13.12,18.56,15.43,12.98,8.00,2.06,-5.78,-9.36,3.55,15.70,7.68,4.39
1928,-8.93,-10.86,-5.38,2.33,9.25,14.22,19.27,19.08,10.85,7.10,-0.73,-4.93,-8.52,2.07,17.52,5.74,4.20
1929,-10.86,-9.91,-2.51,3.12,11.12,16.62,18.03,15.60,14.02,999.90,-0.06,-8.60,-8.57,3.91,16.75,7.08,4.79
1930,-9.12,-8.95,-4.09,2.32,11.36,18.30,17.63,15.58,13.77,6.52,0.61,-6.36,-8.89,3.20,17.17,6.97,4.61
1931,-10.34,-8.78,-1.87,4.60,10.78,15.40,20.41,16.49,13.96,8.20,2.93,-5.77,-8.49,4.50,17.43,8.36,5.45
1932,-4.39,-9.10,-5.35,3.38,10.70,15.00,17.19,17.71,13.26,7.84,-1.67,-4.43,-6.42,2.91,16.63,6.48,4.90
1933,-5.00,-6.98,-5.62,3.80,11.26,16.38,17.97,16.89,13.40,6.23,-3.78,-10.31,-5.47,3.15,17.08,5.28,5.01
1934,-10.65,-15.49,-4.22,5.88,12.68,16.58,18.49,14.70,15.10,5.35,1.59,-9.26,-12.15,4.78,16.59,7.35,4.14
1935,-14.09,-9.98,-3.68,3.56,8.56,15.72,19.69,17.53,11.78,6.98,1.95,-9.37,-11.11,2.81,17.65,6.90,4.06
1936,-11.73,-12.59,0.12,2.66,12.90,16.73,17.45,16.98,13.36,6.72,-2.71,-5.73,-11.23,5.23,17.05,5.79,4.21
1937,-4.86,-6.18,-6.25,3.64,11.57,16.12,19.77,20.20,13.26,6.35,0.12,-7.52,-5.59,2.99,18.70,6.58,5.67
1938,-11.28,-7.37,-3.09,5.38,10.48,17.40,18.95,19.13,999.90,8.74,1.14,-5.69,-8.72,4.26,18.49,7.97,5.50
1939,-10.49,-7.77,-7.37,1.54,10.37,16.11,18.80,19.31,13.14,6.50,-2.50,-7.15,-7.98,1.51,18.07,5.71,4.33
1940,-13.32,-9.91,-5.91,1.75,11.33,15.31,18.65,16.80,12.24,5.35,0.38,-7.35,-10.13,2.39,16.92,5.99,3.79
1941,-12.09,-8.18,-5.88,7.11,11.12,17.02,19.03,15.76,13.25,5.98,1.25,-5.90,-9.21,4.12,17.27,6.83,4.75
1942,-10.45,-11.00,-0.41,5.35,13.38,16.74,18.73,17.28,14.10,7.32,-0.21,-9.84,-9.12,6.11,17.58,7.07,5.41
1943,-12.52,-8.61,-4.96,0.63,10.65,17.63,19.40,16.93,12.38,7.15,0.31,-11.19,-10.32,2.11,17.99,6.61,4.10
1944,-9.41,-10.65,-5.56,2.01,12.60,16.12,19.02,19.23,13.47,5.58,-0.28,-9.47,-10.42,3.02,18.12,6.26,4.25
1945,-13.46,-8.38,1.31,6.94,9.23,15.47,18.79,17.66,14.39,5.70,0.26,-10.01,-10.44,5.83,17.31,6.78,4.87
1946,-10.37,-12.08,2.40,3.21,10.20,16.09,18.38,15.84,14.25,8.57,1.52,-6.03,-10.82,5.27,16.77,8.11,4.83
1947,-9.58,-8.70,-3.18,2.49,9.72,14.70,20.51,19.71,13.73,10.77,-1.18,-9.15,-8.10,3.01,18.31,7.77,5.25
1948,-11.95,-12.04,-3.79,4.84,8.78,14.11,18.86,18.22,12.87,999.90,4.85,-4.52,-11.05,3.28,17.06,8.96,4.56
1949,-4.93,-5.40,-2.22,5.30,11.01,17.90,19.96,18.35,11.86,9.45,-0.48,-4.50,-4.95,4.70,18.74,6.94,6.36
1950,-4.85,-9.82,-6.09,2.61,11.08,16.52,18.08,16.53,9.74,8.36,3.10,-4.49,-6.39,2.53,17.04,7.07,5.06
1951,-7.36,-6.04,-1.88,5.41,10.93,14.94,18.42,16.61,13.22,7.84,-0.94,-6.55,-5.96,4.82,16.66,6.71,5.55
1952,-7.52,-6.52,-1.91,5.68,8.73,16.68,20.41,17.39,13.65,6.08,1.66,-4.43,-6.86,4.17,18.16,7.13,5.65
1953,-5.58,-5.62,-1.30,5.28,11.66,16.10,18.34,16.32,12.56,8.01,4.23,-1.46,-5.21,5.21,16.92,8.27,6.30
1954,-10.82,-4.27,-2.39,4.07,9.77,15.76,16.53,15.50,11.28,9.08,1.79,-6.61,-5.52,3.82,15.93,7.38,5.40
1955,-9.80,-7.98,-3.93,5.48,12.85,15.95,20.29,19.20,12.17,7.44,-0.06,-10.97,-8.13,4.80,18.48,6.52,5.42
1956,-7.17,-6.54,-6.83,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-8.23,999.90,999.90,999.90,999.90
1957,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,2.37,-3.44,999.90,999.90,999.90,999.90,999.90
1958,-7.40,-10.70,0.53,5.21,8.13,12.35,17.69,16.95,12.50,6.03,2.06,-12.50,-7.18,4.62,15.66,6.86,4.99
1959,-9.92,-11.65,-3.78,4.82,12.43,15.13,20.05,19.41,14.50,7.35,0.96,-4.90,-11.36,4.49,18.20,7.60,4.73
1960,-8.87,-4.99,-5.90,4.89,13.39,15.67,17.36,17.19,13.01,5.75,2.54,-9.18,-6.25,4.13,16.74,7.10,5.43
1961,-12.91,-6.91,-2.46,3.27,9.55,15.69,17.91,17.24,17.45,9.11,1.70,-5.27,-9.67,3.45,16.95,9.42,5.04
1962,-10.40,-11.65,-1.51,4.49,9.84,16.56,16.47,17.46,11.75,6.18,-0.80,-7.60,-9.11,4.27,16.83,5.71,4.43
1963,-9.21,-11.23,-1.94,3.48,10.28,17.36,19.73,15.07,10.90,9.80,2.64,-11.59,-9.35,3.94,17.39,7.78,4.94
1964,-7.49,-8.98,-2.00,3.39,12.71,15.34,19.47,13.98,10.95,5.55,-0.10,-6.73,-9.35,4.70,16.26,5.47,4.27
1965,-11.60,-9.24,-3.25,2.83,12.02,15.83,16.53,17.35,12.68,5.79,-1.25,-5.75,-9.19,3.87,16.57,5.74,4.25
1966,-9.18,-8.32,-2.41,3.17,9.15,16.19,17.96,17.22,10.75,6.59,2.19,-5.82,-7.75,3.30,17.12,6.51,4.80
1967,-6.48,-12.45,-5.62,2.66,6.62,17.50,19.23,18.21,12.52,7.96,-1.34,-5.84,-8.25,1.22,18.31,6.38,4.42
1968,-13.89,-11.50,-1.54,6.57,9.07,14.34,19.50,15.77,14.65,8.90,-0.91,-8.82,-10.41,4.70,16.54,7.55,4.59
1969,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1970,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1971,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1972,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1973,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,0.35,-4.44,999.90,999.90,999.90,999.90,999.90
1974,-8.62,-9.78,-3.65,4.08,8.14,999.90,999.90,999.90,999.90,999.90,1.15,-4.56,-7.61,2.86,999.90,999.90,999.90
