YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,-5.30,2.98,8.44,13.95,18.54,24.41,25.65,26.07,21.89,18.53,8.74,6.61,1.12,13.64,25.38,16.39,14.13
1941,4.01,2.15,6.42,17.42,22.00,25.63,27.84,27.30,24.27,19.19,9.21,6.33,4.26,15.28,26.92,17.56,16.00
1942,999.90,999.90,999.90,999.90,999.90,25.19,28.02,25.17,21.72,16.38,10.97,2.97,999.90,999.90,26.13,16.36,999.90
1943,3.13,5.86,6.54,14.56,20.75,26.51,27.96,27.60,20.28,15.12,7.74,2.25,3.99,13.95,27.36,14.38,14.92
1944,3.96,6.45,8.55,14.32,22.25,26.77,26.75,26.18,22.36,16.40,9.75,0.86,4.22,15.04,26.57,16.17,15.50
1945,0.91,4.37,14.03,16.33,17.76,23.35,26.03,25.80,22.66,15.10,9.72,0.72,2.05,16.04,25.06,15.83,14.74
1946,3.60,6.86,15.01,17.46,18.68,25.49,26.81,23.99,22.07,17.60,11.25,6.94,3.73,17.05,25.43,16.97,15.79
1947,4.72,0.04,5.01,15.13,19.15,24.46,24.93,29.01,22.53,19.57,7.20,4.43,3.90,13.10,26.13,16.43,14.89
1948,999.90,999.90,999.90,999.90,999.90,25.11,26.74,26.04,21.95,14.50,9.89,5.80,999.90,999.90,25.96,15.45,999.90
1949,4.67,5.67,8.77,14.28,21.38,25.23,27.68,25.84,19.35,17.02,9.39,6.04,5.38,14.81,26.25,15.25,15.42
1950,6.78,5.37,6.94,13.09,20.96,24.78,24.68,23.28,20.33,18.63,5.68,0.74,6.06,13.66,24.25,14.88,14.71
1951,2.89,4.33,8.09,12.94,20.60,24.13,26.70,26.65,20.66,16.39,5.25,4.58,2.65,13.88,25.83,14.10,14.11
1952,5.11,6.78,8.54,14.46,20.40,29.23,27.85,26.10,21.28,12.58,9.04,4.62,5.49,14.47,27.73,14.30,15.50
1953,4.70,6.08,11.01,12.94,20.89,28.08,27.77,26.57,23.23,17.17,9.00,3.70,5.13,14.95,27.47,16.47,16.00
1954,2.33,8.16,8.33,18.14,17.95,26.52,29.02,27.92,24.32,16.06,9.23,4.09,4.73,14.81,27.82,16.54,15.97
1955,2.81,4.39,9.27,18.03,21.34,22.27,28.01,27.16,24.17,15.47,7.77,2.53,3.76,16.21,25.81,15.80,15.40
1956,0.94,6.06,9.38,14.30,21.23,24.69,27.16,26.90,21.60,18.54,8.55,7.00,3.18,14.97,26.25,16.23,15.16
1957,0.19,6.83,8.69,16.85,20.54,24.97,26.36,25.71,21.45,14.01,8.51,6.61,4.67,15.36,25.68,14.66,15.09
1958,1.10,-1.04,5.64,14.63,20.39,23.78,26.65,25.99,21.96,15.87,10.16,0.97,2.22,13.55,25.47,16.00,14.31
1959,0.87,4.08,9.14,15.12,22.08,24.60,25.79,26.77,22.88,15.60,5.68,5.54,1.97,15.45,25.72,14.72,14.46
1960,3.16,2.02,1.54,16.48,18.92,24.38,25.82,26.65,23.81,16.33,8.91,0.87,3.57,12.31,25.62,16.35,14.46
1961,0.18,5.72,10.44,12.21,17.65,23.69,25.89,24.91,22.72,15.98,8.43,3.29,2.26,13.43,24.83,15.71,14.06
1962,0.20,5.38,6.54,13.75,24.68,24.47,26.78,25.53,20.47,17.32,8.43,1.56,2.96,14.99,25.59,15.41,14.74
1963,-2.44,0.11,11.83,16.46,20.17,25.60,26.39,25.47,21.83,20.17,10.34,-1.72,-0.26,16.15,25.82,17.45,14.79
1964,3.32,3.33,8.76,16.90,21.66,26.04,26.88,25.61,21.86,14.26,10.48,3.93,1.64,15.77,26.18,15.53,14.78
1965,3.04,3.66,3.99,16.38,22.63,24.50,26.27,25.47,21.84,14.93,11.45,6.95,3.54,14.33,25.41,16.07,14.84
1966,-0.85,2.87,9.95,13.44,18.59,24.44,27.95,24.00,20.11,13.67,9.95,3.18,2.99,13.99,25.46,14.58,14.26
1967,4.05,1.33,11.67,17.02,18.70,24.62,24.38,22.83,19.95,15.89,7.42,4.32,2.85,15.80,23.94,14.42,14.25
1968,0.38,0.48,8.75,15.20,19.01,25.52,26.45,25.99,21.20,15.51,8.77,2.63,1.73,14.32,25.99,15.16,14.30
1969,1.66,3.91,5.28,14.88,20.54,24.75,27.65,25.36,21.71,15.53,7.31,1.84,2.73,13.57,25.92,14.85,14.27
1970,-1.82,1.93,6.24,16.33,21.61,23.70,25.99,26.07,23.85,15.48,8.26,5.58,0.65,14.73,25.25,15.86,14.12
1971,0.47,3.20,7.11,14.93,18.10,26.34,24.98,24.56,23.13,19.23,9.24,7.72,3.08,13.38,25.29,17.20,14.74
1972,2.02,3.94,9.01,15.11,20.50,24.28,25.35,24.97,22.69,14.45,6.96,2.12,4.56,14.87,24.87,14.70,14.75
1973,2.02,3.01,12.53,13.40,18.21,25.27,26.86,25.42,22.66,17.55,11.24,2.54,2.38,14.71,25.85,17.15,15.02
1974,2.94,4.85,10.90,14.72,20.34,22.26,26.89,24.36,18.39,15.34,9.41,3.54,3.44,15.32,24.50,14.38,14.41
1975,3.62,4.01,6.52,14.69,22.32,26.04,26.54,25.41,19.49,16.78,10.48,4.72,3.72,14.51,26.00,15.58,14.95
1976,1.15,9.08,12.20,15.63,17.63,23.33,26.22,24.26,21.08,12.80,4.41,1.72,4.98,15.15,24.60,12.76,14.38
1977,-5.70,3.64,12.37,17.73,23.43,25.94,28.13,25.67,23.22,14.41,10.11,2.65,-0.11,17.84,26.58,15.91,15.06
1978,-3.91,-2.93,5.92,16.64,20.04,25.53,27.77,25.14,23.62,14.68,10.68,3.44,-1.40,14.20,26.15,16.33,13.82
1979,-4.50,-1.30,8.64,13.91,19.06,25.27,26.51,25.78,21.83,16.60,8.72,4.80,-0.79,13.87,25.85,15.72,13.66
1980,2.50,0.65,6.80,14.33,20.43,25.07,29.49,28.02,23.25,14.48,8.66,3.98,2.65,13.85,27.53,15.46,14.87
1981,0.67,4.56,9.26,18.82,18.00,25.78,27.14,25.26,20.60,13.83,9.90,2.53,3.07,15.36,26.06,14.78,14.82
1982,-0.97,2.20,10.99,12.95,22.67,22.69,26.88,24.64,20.51,15.49,9.43,7.43,1.25,15.54,24.74,15.14,14.17
1983,1.80,5.18,9.00,11.70,19.41,25.05,28.66,29.08,22.57,16.03,9.83,-2.22,4.80,13.37,27.60,16.14,15.48
1984,-1.98,6.00,6.59,14.08,18.95,27.14,25.94,25.41,20.08,17.38,7.59,7.29,0.60,13.21,26.16,15.02,13.75
1985,-3.84,1.11,11.86,17.76,20.93,24.33,26.69,24.44,21.17,16.95,10.69,1.18,1.52,16.85,25.15,16.27,14.95
1986,2.74,4.66,10.83,17.46,22.41,26.53,28.25,24.02,24.23,16.14,7.34,3.01,2.86,16.90,26.27,15.90,15.48
1987,1.97,5.84,11.51,16.06,24.79,26.98,27.79,28.02,999.90,999.90,999.90,999.90,3.61,17.45,27.60,999.90,16.49
1988,999.90,999.90,999.90,999.90,19.69,25.09,26.92,27.64,21.92,12.88,9.71,4.02,999.90,999.90,26.55,14.84,999.90
1989,5.71,1.27,9.63,15.91,18.89,999.90,26.82,25.81,999.90,999.90,999.90,999.90,3.67,14.81,25.83,999.90,15.04
1990,999.90,999.90,999.90,999.90,999.90,25.32,26.63,24.76,23.36,14.32,11.74,999.90,999.90,999.90,25.57,16.47,999.90
1991,1.87,6.26,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,4.36,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
