YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1931,14.59,14.39,20.39,28.89,32.29,34.29,30.89,29.49,27.79,24.49,18.29,14.70,14.42,27.19,31.56,23.52,24.17
1932,14.80,14.90,22.80,27.90,31.00,34.80,30.90,28.30,27.90,25.10,18.80,13.91,14.80,27.23,31.33,23.93,24.32
1933,11.51,16.41,21.61,26.31,29.01,31.61,28.61,27.31,26.91,24.01,18.41,15.03,13.94,25.64,29.18,23.11,22.97
1934,12.03,17.23,20.53,27.43,31.43,32.03,29.93,27.83,29.03,24.63,19.13,15.34,14.76,26.46,29.93,24.26,23.86
1935,11.94,16.44,21.34,24.84,32.74,34.44,29.74,28.74,27.94,24.84,19.84,14.55,14.57,26.31,30.97,24.21,24.02
1936,12.45,16.55,21.05,27.55,34.15,30.45,29.35,28.55,27.85,24.95,19.15,14.56,14.52,27.58,29.45,23.98,23.88
1937,12.66,16.06,19.96,25.76,31.96,33.16,29.66,31.06,28.86,24.46,18.96,13.58,14.43,25.89,31.29,24.09,23.93
1938,12.88,14.68,22.98,28.88,34.38,31.98,30.98,30.48,30.28,26.48,17.98,13.99,13.71,28.75,31.15,24.91,24.63
1939,14.19,16.39,19.19,26.69,34.19,31.39,30.49,30.99,29.19,26.19,18.89,14.80,14.86,26.69,30.96,24.76,24.32
1940,13.60,15.70,20.20,26.80,33.60,34.40,31.20,28.20,28.50,25.00,20.00,14.62,14.70,26.87,31.27,24.50,24.33
1941,12.62,17.02,24.12,31.02,34.22,31.72,33.22,30.22,29.12,27.72,19.52,15.63,14.75,29.79,31.72,25.45,25.43
1942,12.23,17.33,23.43,29.73,33.53,34.63,28.93,28.08,27.60,26.76,22.06,14.35,15.06,28.90,30.55,25.47,25.00
1943,14.73,17.83,25.09,28.88,34.68,33.84,30.03,28.11,28.54,24.27,18.98,14.94,15.64,29.55,30.66,23.93,24.94
