YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1981,21.82,21.62,24.52,29.52,30.82,33.62,36.62,36.02,33.82,30.32,25.62,22.51,22.17,28.29,35.42,29.92,28.95
1982,20.61,20.31,22.61,26.31,32.01,34.11,35.11,35.11,33.61,30.91,24.71,20.60,21.14,26.98,34.78,29.74,28.16
1983,19.56,19.79,21.35,25.61,32.44,33.90,35.66,36.52,33.54,29.89,25.38,22.01,19.98,26.47,35.36,29.60,27.85
1984,19.94,20.55,24.72,29.23,31.33,32.18,35.68,34.31,33.18,28.90,25.43,22.08,20.83,28.43,34.06,29.17,28.12
1985,21.37,20.82,24.27,27.26,31.64,33.20,35.64,36.91,33.63,30.49,26.38,22.27,21.42,27.72,35.25,30.17,28.64
1986,19.64,21.16,23.30,28.03,33.38,33.30,35.97,35.94,32.96,30.86,26.11,20.74,21.02,28.24,35.07,29.98,28.58
1987,19.99,21.73,24.22,26.81,32.37,33.62,36.60,36.60,34.26,30.27,26.00,21.28,20.82,27.80,35.61,30.18,28.60
1988,19.99,21.31,23.87,27.61,30.98,33.60,36.29,35.70,33.73,30.86,26.82,22.41,20.86,27.49,35.20,30.47,28.50
1989,18.86,19.96,22.96,25.87,30.79,33.59,36.60,36.05,33.44,30.35,26.84,21.82,20.41,26.54,35.41,30.21,28.14
1990,19.90,21.40,23.35,28.17,32.01,34.27,36.35,36.06,33.95,31.17,26.60,23.09,21.04,27.84,35.56,30.57,28.75
1991,21.16,21.70,23.73,28.32,29.23,33.30,34.78,35.80,33.49,29.51,25.55,22.62,21.98,27.09,34.63,29.52,28.30
1992,19.27,20.17,21.73,26.05,32.81,33.71,34.85,36.35,33.04,30.01,25.99,23.02,20.69,26.86,34.97,29.68,28.05
1993,20.22,21.83,24.07,27.60,31.69,33.59,36.11,36.48,34.31,30.58,26.64,22.91,21.69,27.79,35.39,30.51,28.84
1994,21.16,20.95,24.70,28.17,32.30,34.60,35.49,36.71,34.38,30.52,27.93,21.98,21.67,28.39,35.60,30.94,29.15
1995,20.86,22.30,23.11,27.41,31.69,33.73,34.55,36.87,34.22,31.14,26.40,22.32,21.71,27.40,35.05,30.59,28.69
1996,20.74,21.98,24.42,28.07,33.02,35.68,38.46,36.81,34.21,30.10,25.72,21.45,21.68,28.50,36.98,30.01,29.29
1997,20.06,21.53,23.05,26.26,30.98,35.07,35.63,35.50,34.68,31.63,26.18,22.71,21.01,26.76,35.40,30.83,28.50
1998,20.66,21.94,25.31,29.24,33.48,36.19,37.96,38.01,35.05,32.25,27.18,24.33,21.77,29.34,37.39,31.49,30.00
1999,21.87,24.24,24.52,29.77,32.70,35.96,36.59,37.75,34.32,31.13,27.52,22.57,23.48,29.00,36.77,30.99,30.06
2000,21.77,21.42,23.58,29.67,31.89,33.34,37.16,36.81,34.32,31.48,27.08,22.55,21.92,28.38,35.77,30.96,29.26
2001,20.08,21.42,24.80,27.98,33.67,34.95,37.08,36.60,34.84,31.36,999.90,999.90,21.35,28.82,36.21,31.09,29.37
2002,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,26.16,22.77,999.90,999.90,999.90,999.90,999.90
2003,19.97,22.87,25.57,29.02,32.37,34.43,36.37,36.56,34.82,31.44,26.62,22.65,21.87,28.99,35.79,30.96,29.40
2004,22.05,21.85,24.95,28.78,32.44,34.18,36.25,36.64,33.91,30.66,27.03,22.56,22.18,28.72,35.69,30.53,29.28
2005,20.24,21.41,24.51,28.78,32.31,34.15,36.08,36.40,34.65,31.48,27.37,23.81,21.40,28.53,35.54,31.17,29.16
2006,20.72,23.41,23.97,28.31,32.38,35.47,35.89,37.31,34.14,31.62,26.76,20.44,22.65,28.22,36.22,30.84,29.48
2007,19.55,21.82,24.75,30.00,33.85,35.70,36.08,37.23,34.51,30.80,26.75,22.94,20.60,29.53,36.34,30.69,29.29
2008,19.37,20.54,24.96,28.83,34.20,33.87,36.76,36.76,34.19,31.52,27.00,21.04,20.95,29.33,35.80,30.90,29.25
2009,19.42,23.27,25.40,28.21,33.70,35.13,35.82,36.61,34.30,31.63,27.17,22.97,21.24,29.10,35.85,31.03,29.31
2010,21.15,23.44,25.75,29.61,33.15,36.33,37.97,37.57,34.98,31.94,27.09,22.86,22.52,29.50,37.29,31.34,30.16
2011,21.68,22.18,24.46,29.52,33.63,35.21,37.12,36.97,34.97,31.46,26.54,21.88,22.24,29.20,36.43,30.99,29.72
2012,20.69,21.67,24.49,28.91,34.36,34.91,38.17,37.15,35.45,31.85,27.62,23.25,21.41,29.25,36.74,31.64,29.76
2013,21.37,22.22,25.05,29.07,31.60,33.68,37.22,36.85,34.57,31.20,26.79,22.85,22.28,28.57,35.92,30.85,29.41
2014,20.23,20.95,24.69,29.66,33.01,34.64,36.59,36.44,34.60,32.27,26.60,22.96,21.34,29.12,35.89,31.16,29.38
2015,21.31,24.02,25.14,28.82,34.05,35.51,37.77,38.24,34.75,32.08,27.49,22.73,22.76,29.34,37.17,31.44,30.18
2016,21.21,21.81,25.14,27.68,33.20,35.07,37.18,38.38,34.83,31.48,27.42,24.03,21.92,28.67,36.88,31.24,29.68
2017,22.34,21.40,25.44,30.71,33.57,35.99,38.59,37.77,35.20,32.02,27.45,22.73,22.59,29.91,37.45,31.56,30.38
2018,20.72,22.71,25.57,30.05,33.45,35.60,37.66,36.55,35.92,31.89,27.18,23.62,22.05,29.69,36.60,31.66,30.00
2019,22.43,21.88,23.32,29.23,32.65,37.04,36.95,37.34,35.41,32.15,25.96,23.54,22.64,28.40,37.11,31.17,29.83
2020,20.60,22.36,24.54,29.81,33.24,35.51,37.86,36.93,35.52,30.77,26.91,22.91,22.17,29.20,36.77,31.07,29.80
2021,20.35,22.69,26.44,29.76,33.26,35.98,37.50,37.00,35.23,31.84,27.60,23.76,21.98,29.82,36.83,31.56,30.05
2022,21.47,22.30,26.52,30.38,31.66,36.05,36.48,37.33,34.40,31.32,28.43,24.33,22.51,29.52,36.62,31.38,30.01
2023,20.99,23.60,25.85,27.02,32.78,35.26,37.46,37.87,36.00,32.24,28.11,24.34,22.97,28.55,36.86,32.12,30.13
2024,22.74,22.25,24.86,28.14,33.16,36.84,37.40,36.83,35.00,32.55,28.63,23.05,23.11,28.72,37.02,32.06,30.23
2025,20.79,22.94,25.92,30.43,34.18,35.11,37.45,999.90,999.90,999.90,999.90,999.90,22.26,30.18,36.64,999.90,30.20
