YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1936,999.90,999.90,999.90,999.90,999.90,999.90,999.90,25.61,21.53,14.73,5.65,3.21,999.90,999.90,999.90,13.97,999.90
1937,7.17,1.87,3.46,10.95,16.77,22.89,23.01,24.22,18.57,11.00,4.58,0.54,4.08,10.39,23.37,11.38,12.31
1938,2.06,6.40,9.45,13.80,17.00,21.04,24.12,24.29,20.07,13.93,7.82,2.72,3.00,13.42,23.15,13.94,13.38
1939,3.56,4.50,7.41,10.59,18.09,24.04,23.36,23.58,21.65,14.87,5.12,3.30,3.59,12.03,23.66,13.88,13.29
1940,-4.86,1.57,4.62,10.66,16.81,22.65,23.87,23.80,19.00,14.24,7.24,5.50,0.00,10.70,23.44,13.49,11.91
1941,1.39,-0.20,1.65,14.05,17.98,23.18,25.88,23.53,22.10,16.89,7.55,5.57,2.23,11.23,24.20,15.51,13.29
1942,-0.32,999.90,7.62,13.48,18.40,23.54,25.19,23.90,20.27,14.23,7.28,0.74,2.93,13.17,24.21,13.93,13.56
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1944,999.90,4.53,4.69,11.22,21.00,23.06,23.60,23.49,20.07,13.18,6.49,-0.96,999.90,12.30,23.38,13.25,12.84
1945,-0.45,3.55,999.90,14.10,15.15,21.40,23.67,23.04,21.91,12.68,8.53,-0.36,0.71,12.05,22.70,14.37,12.46
1946,2.53,3.60,11.20,13.20,16.98,21.65,999.90,20.77,19.38,999.90,999.90,999.90,1.92,13.79,21.63,999.90,12.78
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,999.90,999.90,999.90,999.90,999.90,999.90,999.90,22.95,19.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1949,6.98,6.86,7.40,11.38,18.35,23.38,26.10,24.25,18.15,999.90,7.02,4.28,7.26,12.38,24.58,12.61,14.20
1950,8.11,4.72,5.66,10.60,18.51,21.32,22.69,22.66,19.19,16.04,5.65,1.01,5.70,11.59,22.22,13.63,13.29
1951,2.71,3.38,7.40,11.51,17.48,22.19,24.04,23.25,19.67,15.46,4.81,4.03,2.37,12.13,23.16,13.31,12.74
1952,5.84,4.62,6.66,12.62,17.03,24.07,25.28,23.47,19.62,10.90,7.83,4.19,4.83,12.10,24.27,12.78,13.50
1953,4.76,4.86,8.37,11.19,19.87,23.32,24.78,23.76,19.49,15.12,6.76,2.26,4.60,13.14,23.95,13.79,13.87
1954,2.29,4.95,5.65,14.82,14.59,21.85,23.22,23.44,21.17,14.53,6.74,1.84,3.17,11.69,22.84,14.15,12.96
1955,1.00,2.94,8.51,14.48,18.06,18.83,25.53,25.01,21.00,14.62,5.91,0.21,1.93,13.68,23.12,13.84,13.14
1956,-0.39,6.03,6.94,10.67,17.80,21.82,23.64,23.26,18.49,16.27,7.70,7.88,1.95,11.80,22.91,14.15,12.70
1957,0.74,6.15,7.09,14.72,18.66,23.66,23.61,22.80,20.80,12.02,8.24,999.90,4.92,13.49,23.36,13.69,13.86
1958,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1959,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.65,7.26,4.14,999.90,999.90,999.90,14.54,999.90
1960,3.16,2.14,0.73,14.59,16.43,21.39,23.33,24.82,21.13,15.06,7.99,-1.68,3.15,10.58,23.18,14.73,12.91
1961,-1.65,4.95,8.99,9.14,14.77,20.04,22.80,23.57,21.97,13.30,8.02,2.15,0.54,10.97,22.14,14.43,12.02
1962,-0.02,3.79,6.02,999.90,20.38,21.30,999.90,999.90,999.90,999.90,999.90,999.90,1.97,13.34,999.90,999.90,999.90
1963,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1964,999.90,999.90,999.90,999.90,999.90,999.90,999.90,22.77,19.55,11.42,9.86,3.82,999.90,999.90,999.90,13.61,999.90
1965,2.35,1.93,5.07,13.28,19.98,21.14,23.33,22.31,22.14,12.55,8.65,4.18,2.70,12.78,22.26,14.45,13.05
1966,-1.28,1.44,7.93,11.35,16.50,21.17,24.36,23.01,18.42,11.89,8.79,2.24,1.45,11.93,22.85,13.03,12.31
1967,3.40,0.45,8.16,13.07,13.95,20.57,999.90,999.90,16.95,12.70,5.68,4.55,2.03,11.73,999.90,11.78,11.85
1968,-1.27,-1.88,999.90,12.98,15.39,20.80,23.64,23.99,19.58,13.92,8.17,1.23,0.47,11.61,22.81,13.89,12.20
1969,0.06,2.13,3.54,13.17,17.47,22.01,24.83,23.05,19.17,13.30,5.65,-0.08,1.14,11.39,23.30,12.71,12.13
1970,-2.76,1.58,5.66,13.31,18.41,21.65,23.21,23.48,22.18,15.34,7.80,4.11,-0.42,12.46,22.78,15.11,12.48
1971,-0.66,1.90,4.43,10.72,14.61,22.72,22.66,22.47,21.52,17.33,7.08,7.72,1.78,9.92,22.62,15.31,12.41
1972,2.39,0.81,6.60,11.42,16.68,18.37,23.00,22.80,999.90,11.73,7.16,5.17,3.64,11.57,21.39,12.53,12.28
1973,1.22,2.26,11.18,11.59,15.26,22.70,23.46,23.51,21.26,15.76,8.13,3.61,2.88,12.68,23.22,15.05,13.46
1974,6.41,3.48,9.36,12.56,17.05,19.21,23.01,22.98,18.01,11.30,8.46,2.91,4.50,12.99,21.73,12.59,12.95
1975,3.16,4.18,5.85,9.73,18.94,21.86,22.86,24.19,18.22,14.98,9.35,3.34,3.42,11.51,22.97,14.18,13.02
1976,999.90,6.27,10.89,12.36,14.95,21.50,22.21,21.40,16.93,9.69,2.91,-0.58,4.17,12.73,21.70,9.84,12.11
1977,-6.62,0.92,8.82,13.83,18.38,20.06,24.44,23.45,21.23,11.91,9.27,1.64,-2.09,13.68,22.65,14.14,12.09
1978,-3.76,-3.79,5.35,13.34,16.01,21.49,23.16,23.92,21.87,12.01,10.15,2.87,-1.97,11.57,22.86,14.68,11.78
1979,-0.92,-1.38,8.73,12.16,16.65,20.16,21.94,22.51,19.47,999.90,8.79,3.41,0.19,12.51,21.54,14.15,12.10
1980,2.36,-0.37,4.77,11.29,16.40,19.68,24.06,23.94,21.87,11.85,6.00,1.47,1.80,10.82,22.56,13.24,12.10
1981,-1.72,2.49,5.25,14.34,15.05,23.22,23.59,22.58,18.24,999.90,7.47,999.90,0.75,11.55,23.13,12.88,12.08
1982,999.90,2.87,999.90,10.68,19.47,20.17,24.45,21.40,999.90,999.90,9.76,6.66,999.90,12.50,22.01,999.90,999.90
1983,0.67,999.90,8.62,999.90,14.51,20.84,24.07,24.97,19.82,999.90,8.20,999.90,3.97,11.71,23.29,14.03,13.25
1984,-1.64,5.00,5.08,10.85,15.14,23.38,999.90,22.63,999.90,17.47,999.90,5.09,2.02,10.36,23.43,999.90,12.26
1985,999.90,999.90,999.90,999.90,17.82,20.75,23.00,22.50,19.92,16.41,12.59,999.90,999.90,999.90,22.08,16.31,999.90
1986,-0.04,3.89,6.14,13.66,17.85,21.72,24.61,22.52,20.18,14.81,8.48,3.00,2.26,12.55,22.95,14.49,13.06
1987,0.68,3.12,8.12,11.31,19.28,22.26,24.58,24.77,19.52,999.90,999.90,4.60,2.27,12.90,23.87,999.90,13.34
1988,-0.64,1.85,999.90,999.90,999.90,999.90,999.90,999.90,999.90,10.18,7.85,2.57,1.94,999.90,999.90,12.10,999.90
1989,4.36,1.77,8.40,11.54,14.44,21.92,23.62,999.90,19.47,13.26,7.60,-3.75,2.90,11.46,22.98,13.44,12.70
1990,5.12,7.11,9.47,12.02,17.16,21.09,23.66,23.11,19.60,14.40,9.45,5.71,2.83,12.88,22.62,14.48,13.20
1991,3.01,4.29,8.16,999.90,20.69,22.46,25.00,23.39,19.90,14.70,6.88,5.20,4.34,14.57,23.62,13.83,14.09
1992,2.28,4.94,6.82,12.12,15.69,19.51,23.67,21.41,19.62,12.24,8.70,2.66,4.14,11.54,21.53,13.52,12.68
1993,4.60,1.76,5.34,12.14,17.26,20.99,25.16,24.09,20.27,12.60,8.11,2.51,3.01,11.58,23.41,13.66,12.91
1994,-2.53,3.29,6.40,999.90,999.90,999.90,24.33,21.98,18.63,999.90,999.90,999.90,1.09,999.90,22.52,999.90,999.90
1995,2.68,1.44,9.03,12.89,16.27,21.95,24.36,25.76,18.99,14.72,6.57,1.67,2.40,12.73,24.02,13.43,13.14
1996,0.63,1.52,5.14,11.41,17.23,21.82,22.05,22.43,18.89,13.55,4.57,5.13,1.27,11.26,22.10,12.34,11.74
1997,2.66,5.76,9.53,9.82,13.71,20.77,24.04,21.95,18.73,13.01,5.80,3.46,4.52,11.02,22.25,12.51,12.58
1998,4.93,5.62,7.63,13.19,18.63,21.80,23.83,23.80,21.62,14.93,9.09,5.59,4.67,13.15,23.14,15.21,14.04
1999,4.17,999.90,4.26,14.54,17.66,22.33,25.52,23.29,19.14,13.56,10.05,3.38,5.18,12.15,23.71,14.25,13.82
2000,0.49,5.93,10.03,12.21,18.71,22.71,22.12,22.83,19.46,14.91,7.03,-1.69,3.27,13.65,22.55,13.80,13.32
2001,-0.18,5.63,5.04,13.96,17.86,21.32,22.86,24.57,19.11,13.56,10.99,6.84,1.25,12.29,22.92,14.55,12.75
2002,3.16,4.51,7.40,13.84,15.69,22.71,24.46,24.46,21.75,14.88,7.01,2.10,4.84,12.31,23.88,14.55,13.89
2003,-1.54,1.71,9.82,13.77,17.10,19.42,23.28,24.06,19.71,13.31,10.41,2.34,0.76,13.56,22.25,14.48,12.76
2004,0.02,2.53,9.41,12.97,20.00,21.59,23.18,22.03,20.34,14.89,10.15,2.87,1.63,14.13,22.27,15.13,13.29
2005,2.38,4.48,5.03,13.93,15.02,22.82,24.89,25.09,21.84,14.55,9.08,0.94,3.24,11.33,24.27,15.16,13.50
2006,5.44,2.66,6.78,15.48,15.82,20.89,23.59,24.81,18.77,12.15,8.56,5.41,3.01,12.69,23.10,13.16,12.99
2007,3.92,-2.31,10.66,11.97,18.65,22.55,22.84,26.05,21.88,17.30,7.98,5.08,2.34,13.76,23.81,15.72,13.91
2008,0.56,999.90,7.62,14.24,15.23,22.78,23.16,22.42,21.73,13.56,6.38,3.72,3.12,12.36,22.79,13.89,13.04
2009,-0.17,999.90,999.90,13.30,17.28,22.08,21.33,23.23,20.19,12.36,10.02,3.26,2.08,12.72,22.21,14.19,12.80
2010,-0.75,-0.37,7.36,14.74,18.77,24.18,24.85,24.96,21.01,14.53,8.53,-1.83,0.71,13.62,24.66,14.69,13.42
2011,-0.16,4.99,7.99,14.68,17.76,22.45,25.46,24.36,20.24,13.33,9.92,5.86,1.00,13.48,24.09,14.50,13.27
2012,999.90,4.91,13.17,12.58,19.98,21.33,26.02,23.51,19.90,13.99,6.18,5.61,4.75,15.24,23.62,13.36,14.24
2013,2.58,2.23,4.31,13.26,17.51,22.05,23.46,22.09,20.25,15.22,6.43,3.47,3.47,11.69,22.53,13.97,12.92
2014,-2.94,1.21,4.90,13.71,17.94,22.84,22.66,22.48,20.02,13.95,4.80,4.80,0.58,12.18,22.66,12.92,12.09
