YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,3.02,7.25,11.68,10.24,14.41,18.51,24.77,23.06,20.91,14.81,8.15,6.26,5.07,12.11,22.11,14.62,13.48
1881,5.86,8.91,12.18,12.11,15.79,19.53,25.77,25.21,19.20,12.34,9.87,4.78,7.01,13.36,23.50,13.80,14.42
1882,5.90,7.71,10.32,13.04,16.33,20.63,22.43,24.36,16.32,12.96,9.14,4.32,6.13,13.23,22.47,12.81,13.66
1883,5.81,7.11,6.21,11.06,14.64,18.14,22.58,24.84,19.00,13.03,9.85,4.24,5.75,10.64,21.85,13.96,13.05
1884,6.68,7.73,9.90,9.55,15.37,18.11,22.98,24.53,17.88,12.25,8.53,3.84,6.22,11.61,21.87,12.89,13.15
1885,2.69,9.72,8.26,9.64,16.07,19.36,22.71,21.70,17.98,12.57,9.25,5.82,5.42,11.32,21.26,13.27,12.82
1886,4.25,6.67,11.69,11.66,14.57,19.21,23.53,22.67,19.54,13.25,7.65,5.69,5.58,12.64,21.80,13.48,13.38
1887,5.36,4.84,10.56,10.64,15.09,22.49,24.80,24.32,19.28,10.30,8.60,4.15,5.30,12.10,23.87,12.73,13.50
1888,5.35,3.39,6.98,9.81,16.52,19.76,21.45,22.33,18.87,13.90,8.45,7.22,4.30,11.10,21.18,13.74,12.58
1889,4.71,6.62,7.50,10.19,15.81,17.68,23.25,22.93,21.46,12.49,9.66,3.45,6.18,11.17,21.29,14.54,13.29
1890,5.90,5.46,7.42,11.06,13.29,22.15,23.07,22.87,19.40,15.01,8.73,3.74,4.94,10.59,22.70,14.38,13.15
1891,2.95,7.09,8.31,12.76,13.97,19.55,24.24,21.68,19.70,14.17,8.73,6.10,4.59,11.68,21.82,14.20,13.07
1892,5.38,7.06,9.02,11.71,15.89,22.12,23.69,23.10,21.47,12.04,9.82,5.51,6.18,12.21,22.97,14.44,13.95
1893,4.64,8.14,11.58,13.85,16.85,20.25,23.27,25.39,17.95,13.93,8.11,5.53,6.10,14.09,22.97,13.33,14.12
1894,3.50,7.35,9.31,10.73,14.40,21.47,24.19,24.33,17.71,14.25,9.63,6.14,5.46,11.48,23.33,13.86,13.53
1895,4.24,7.64,8.46,12.31,15.59,19.84,24.09,24.21,22.56,15.41,12.04,7.36,6.01,12.12,22.71,16.67,14.38
1896,5.81,7.60,11.22,13.63,14.39,19.46,25.06,21.07,20.80,11.51,6.82,5.79,6.92,13.08,21.86,13.04,13.73
1897,4.56,9.36,13.09,13.75,16.08,22.45,25.44,23.89,19.54,14.35,11.13,6.95,6.57,14.31,23.93,15.01,14.95
1898,7.11,7.65,7.91,12.54,14.83,20.04,26.19,25.60,21.87,14.89,9.94,6.11,7.24,11.76,23.94,15.57,14.63
1899,5.47,9.29,10.41,15.50,17.73,20.04,24.83,24.21,21.28,17.63,10.94,6.18,6.96,14.55,23.03,16.62,15.29
1900,5.89,8.46,6.87,13.37,14.74,21.25,25.25,23.14,20.91,14.94,8.59,6.22,6.84,11.66,23.21,14.81,14.13
1901,5.81,2.76,7.85,13.47,15.46,22.52,24.07,24.50,19.10,13.07,7.41,4.37,4.93,12.26,23.70,13.19,13.52
1902,5.61,7.10,10.47,13.06,13.99,18.56,24.33,22.99,18.70,13.03,10.28,6.55,5.69,12.51,21.96,14.00,13.54
1903,5.03,8.28,10.21,12.52,14.11,18.49,23.52,24.39,18.82,14.96,10.69,4.42,6.62,12.28,22.13,14.82,13.96
1904,5.25,7.03,8.02,13.71,18.75,21.15,24.51,24.21,19.15,15.46,8.72,7.66,5.57,13.49,23.29,14.44,14.20
1905,5.22,5.63,10.69,14.06,15.04,19.49,24.23,22.93,17.40,12.74,7.58,5.91,6.17,13.26,22.22,12.57,13.56
1906,6.55,5.79,8.89,9.92,15.27,22.16,23.81,25.82,19.11,14.28,9.16,5.97,6.08,11.36,23.93,14.18,13.89
1907,5.36,5.51,11.19,12.08,14.38,21.97,22.82,24.77,20.27,11.88,9.92,8.24,5.61,12.55,23.19,14.02,13.84
1908,7.17,7.53,7.74,10.40,18.64,18.28,23.85,23.99,20.78,15.66,11.06,7.38,7.65,12.26,22.04,15.83,14.45
1909,4.80,5.34,8.55,14.58,16.24,16.77,23.02,24.27,17.87,15.42,8.89,7.51,5.84,13.12,21.35,14.06,13.59
1910,5.49,8.23,8.52,11.78,13.32,20.10,22.29,22.71,18.16,13.72,8.82,7.04,7.08,11.21,21.70,13.57,13.39
1911,4.21,7.75,8.12,11.10,15.64,19.19,25.24,24.98,22.06,13.26,9.40,7.46,6.33,11.62,23.14,14.91,14.00
1912,5.39,9.01,10.93,12.35,17.71,20.80,21.31,20.78,18.43,13.70,8.87,5.00,7.29,13.66,20.96,13.67,13.90
1913,6.81,7.09,10.39,11.94,16.43,22.59,24.08,22.72,17.61,13.91,10.56,5.50,6.30,12.92,23.13,14.03,14.09
1914,2.83,7.54,10.48,13.69,15.88,18.80,23.35,23.74,21.37,14.73,8.24,6.32,5.29,13.35,21.96,14.78,13.85
1915,5.36,5.67,10.09,10.79,17.19,20.55,24.96,24.70,19.44,13.62,9.44,7.69,5.78,12.69,23.40,14.17,14.01
1916,6.53,6.23,7.34,12.68,16.79,20.40,23.31,24.47,18.89,16.08,9.15,6.82,6.82,12.27,22.73,14.71,14.13
1917,4.86,6.15,7.45,10.55,16.89,20.94,25.45,22.27,20.65,12.58,9.97,3.40,5.94,11.63,22.89,14.40,13.72
1918,6.03,8.23,8.27,10.82,17.08,20.74,23.79,25.49,19.58,12.06,9.82,7.02,5.89,12.06,23.34,13.82,13.78
1919,5.13,8.50,8.90,11.61,17.40,22.51,22.66,25.61,19.24,11.77,7.36,5.06,6.88,12.64,23.59,12.79,13.98
