YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1937,-10.64,-6.46,-0.78,8.72,999.90,18.20,18.48,19.00,14.50,6.29,0.38,-7.48,-7.81,7.49,18.56,7.06,6.32
1938,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1939,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1940,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1941,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1942,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1944,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1945,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1948,999.90,999.90,999.90,999.90,999.90,20.52,16.63,17.70,11.12,4.91,-1.10,-4.22,999.90,999.90,18.28,4.98,999.90
1949,-3.56,-6.99,-2.21,4.82,15.56,17.37,17.78,16.81,12.62,5.72,0.19,-4.02,-4.92,6.06,17.32,6.18,6.16
1950,-17.66,-6.32,-1.46,9.53,11.74,15.66,16.57,14.76,12.83,5.45,-0.02,-5.35,-9.33,6.60,15.66,6.09,4.75
1951,-11.93,-11.74,-3.54,9.03,10.17,17.61,18.82,19.06,12.91,3.27,-4.42,-0.88,-9.67,5.22,18.50,3.92,4.49
1952,-3.89,-6.58,-8.71,5.71,10.92,17.54,18.31,17.33,12.89,4.48,-0.55,-5.62,-3.78,2.64,17.73,5.61,5.55
1953,-10.41,-15.12,-2.00,7.83,11.78,19.21,19.59,18.24,10.81,6.35,-2.88,-5.34,-10.38,5.87,19.01,4.76,4.81
1954,-14.00,-13.95,-2.83,3.65,13.22,18.92,21.12,18.99,13.13,6.40,-1.34,-4.92,-11.10,4.68,19.68,6.06,4.83
1955,-6.15,-6.41,-4.23,1.94,11.00,15.30,18.02,18.10,14.56,8.33,-2.81,-13.98,-5.83,2.90,17.14,6.69,5.23
1956,-10.45,-18.06,-3.09,4.31,11.13,20.09,15.83,15.36,9.33,5.26,-5.02,-3.96,-14.16,4.12,17.09,3.19,2.56
1957,-5.85,-1.60,-5.71,7.18,14.90,15.69,18.84,17.68,13.21,5.91,-0.37,-4.60,-3.80,5.46,17.40,6.25,6.33
1958,-6.64,-7.39,-5.74,4.40,13.73,15.29,18.52,16.18,9.68,6.72,-0.37,-7.42,-6.21,4.13,16.66,5.34,4.98
1959,-4.09,-5.24,-0.64,7.18,11.71,17.01,20.93,17.43,8.85,2.83,-4.63,-10.42,-5.58,6.08,18.46,2.35,5.33
1960,-9.25,-7.57,-4.65,5.50,11.53,18.45,21.15,16.83,10.47,2.66,-3.35,0.33,-9.08,4.13,18.81,3.26,4.28
