YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,13.33,15.83,19.48,26.23,33.08,35.43,34.93,32.83,30.47,27.22,21.03,14.33,14.88,26.26,34.40,26.24,25.45
1941,12.18,17.08,23.28,29.78,34.03,34.53,34.43,34.18,30.22,29.23,20.53,14.83,14.53,29.03,34.38,26.66,26.15
1942,11.73,15.18,22.93,30.08,33.28,35.43,32.68,32.18,30.33,26.78,21.03,13.63,13.91,28.76,33.43,26.05,25.54
1943,11.53,16.28,22.33,26.97,31.88,35.13,34.03,32.38,32.22,26.68,20.58,16.13,13.81,27.06,33.85,26.49,25.30
1944,11.98,14.03,20.48,27.93,33.28,35.47,33.97,31.13,999.90,25.83,999.90,999.90,14.05,27.23,33.52,999.90,25.08
1945,999.90,14.58,21.33,25.83,32.93,35.43,999.90,32.93,31.38,26.38,20.43,13.57,999.90,26.70,34.15,26.06,25.27
1946,13.12,17.27,20.72,32.27,34.52,36.96,35.37,33.67,31.12,28.42,18.52,11.97,14.65,29.17,35.33,26.02,26.29
1947,12.57,16.02,23.32,29.57,34.32,36.57,35.82,33.87,31.62,26.27,22.12,14.32,13.52,29.07,35.42,26.67,26.17
1948,13.42,15.07,20.87,29.32,34.27,34.27,33.71,32.81,31.27,27.17,18.37,14.17,14.27,28.15,33.60,25.60,25.41
1949,999.90,999.90,999.90,29.07,35.27,33.67,999.90,999.90,999.90,999.90,999.90,999.90,999.90,29.20,999.90,999.90,999.90
1950,999.90,999.90,19.16,999.90,32.67,35.12,33.62,31.87,29.87,25.47,17.32,10.62,999.90,26.08,33.54,24.22,24.25
1951,12.27,14.87,20.52,24.87,32.07,34.96,34.52,33.02,31.92,29.71,20.82,15.82,12.59,25.82,34.17,27.48,25.01
1952,13.97,17.22,20.82,30.07,33.87,36.62,33.67,32.21,30.77,27.12,20.22,14.52,15.67,28.25,34.17,26.04,26.03
