YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,-3.77,0.53,2.21,8.97,16.47,22.27,25.20,22.42,19.64,12.41,7.47,3.97,-0.15,9.22,23.30,13.17,11.38
1941,-1.56,-0.72,2.62,14.46,18.70,22.99,25.06,23.79,21.46,15.90,10.10,3.49,0.56,11.93,23.95,15.82,13.06
1942,-0.83,-1.20,6.34,12.32,19.10,22.46,25.31,23.71,20.75,15.11,8.63,0.12,0.49,12.59,23.83,14.83,12.93
1943,-0.46,2.04,5.04,8.49,17.09,25.24,25.26,24.65,20.04,13.06,6.99,0.27,0.57,10.21,25.05,13.36,12.30
1944,1.09,0.51,3.34,9.74,20.46,23.29,26.68,25.99,21.66,14.49,8.24,0.99,0.62,11.18,25.32,14.80,12.98
1945,-3.11,1.55,11.28,13.81,15.72,22.24,24.23,23.59,22.03,14.01,8.79,-0.43,-0.19,13.60,23.35,14.94,12.93
1946,1.57,-0.29,10.61,10.85,16.98,21.30,24.72,22.16,21.42,17.06,10.45,3.40,0.28,12.81,22.73,16.31,13.03
1947,3.72,-1.00,3.39,10.60,16.27,21.05,24.52,24.76,20.68,17.92,7.13,1.47,2.04,10.09,23.44,15.24,12.70
1948,-3.39,-0.36,5.92,10.89,16.00,21.13,25.37,24.44,21.58,14.03,11.69,3.83,-0.76,10.94,23.65,15.77,12.40
1949,4.12,3.99,6.37,12.39,17.59,23.81,26.80,25.19,19.34,17.64,8.27,4.43,3.98,12.12,25.27,15.08,14.11
1950,5.71,0.10,2.73,9.46,15.20,21.59,24.24,23.17,18.44,15.90,9.44,1.93,3.41,9.13,23.00,14.59,12.53
1951,2.81,2.97,5.64,12.03,17.74,21.34,25.06,23.82,20.25,14.97,6.56,3.40,2.57,11.80,23.41,13.93,12.93
1952,2.47,2.48,4.71,13.07,16.09,23.24,26.97,23.91,21.20,13.32,9.34,3.71,2.78,11.29,24.71,14.62,13.35
1953,3.29,3.73,6.44,11.44,17.59,23.18,25.61,24.49,21.47,16.11,9.99,5.33,3.58,11.82,24.43,15.86,13.92
1954,-0.52,4.67,5.44,12.22,15.60,22.13,24.98,22.76,19.81,16.66,8.12,2.52,3.16,11.09,23.29,14.86,13.10
1955,-0.44,1.81,5.52,12.08,18.70,20.62,27.28,25.77,20.03,15.59,6.95,-1.15,1.30,12.10,24.56,14.19,13.04
1956,0.15,2.67,3.12,9.15,14.94,22.04,22.87,23.57,18.37,14.61,8.28,5.06,0.56,9.07,22.83,13.75,11.55
1957,-1.79,3.05,5.65,11.94,17.41,23.62,25.51,23.23,21.04,13.58,9.78,4.69,2.11,11.67,24.12,14.80,13.17
1958,0.05,-2.43,4.71,11.72,15.17,19.66,24.61,24.09,19.88,13.18,8.98,-1.36,0.77,10.53,22.79,14.01,12.03
1959,-0.29,0.15,4.62,12.20,19.19,21.89,24.73,25.40,22.50,15.55,7.77,3.65,-0.50,12.00,24.01,15.27,12.70
1960,1.16,2.48,0.87,12.17,17.13,22.23,23.75,23.95,20.11,999.90,999.90,999.90,2.43,10.06,23.31,999.90,12.49
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
