YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1939,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-5.64,999.90,999.90,999.90,999.90,999.90
1940,-7.14,-4.54,-5.34,-1.84,0.86,4.16,6.66,4.06,1.56,-1.14,-5.04,-5.64,-5.77,-2.11,4.96,-1.54,-1.11
1941,-4.54,-5.44,-2.94,-1.54,2.06,5.66,6.76,7.36,3.66,1.06,-4.94,-7.84,-5.21,-0.81,6.59,-0.07,0.13
1942,-8.34,-5.54,-6.34,-5.74,1.86,5.46,7.36,6.66,2.76,-2.44,-2.74,-5.44,-7.24,-3.41,6.49,-0.81,-1.24
1943,-3.44,-10.14,-10.84,-7.04,-0.64,3.06,5.96,4.76,2.36,-2.74,-4.74,-5.64,-6.34,-6.17,4.59,-1.71,-2.41
1944,-10.94,-8.24,-7.44,-3.14,-0.94,4.26,5.96,6.56,1.86,-1.94,-7.04,-9.84,-8.27,-3.84,5.59,-2.37,-2.22
1945,-5.94,-13.34,-6.94,-7.74,0.26,4.76,5.36,5.06,1.96,0.16,-4.54,-3.54,-9.71,-4.81,5.06,-0.81,-2.56
1946,-9.94,-6.24,-4.44,-5.84,1.86,4.56,5.36,5.56,2.76,-0.14,-2.04,-3.34,-6.57,-2.81,5.16,0.19,-1.01
1947,-5.94,-1.94,-2.94,-3.94,1.46,6.26,6.66,5.06,2.76,-1.64,-3.24,-3.64,-3.74,-1.81,5.99,-0.71,-0.06
1948,-7.84,-8.74,-11.64,-4.94,-0.54,6.16,8.36,6.46,3.06,-2.14,-5.44,-10.14,-6.74,-5.71,6.99,-1.51,-1.74
1949,-11.44,-14.64,-8.64,-9.94,-0.24,5.36,7.36,5.66,1.96,-2.84,-5.24,-7.44,-12.07,-6.27,6.13,-2.04,-3.56
1950,-12.34,-10.94,-5.34,-4.44,1.46,5.46,6.86,5.66,2.36,-2.64,-4.94,-3.14,-10.24,-2.77,5.99,-1.74,-2.19
1951,-8.64,-11.84,-6.54,-5.24,0.76,5.56,5.86,5.16,4.16,-2.44,999.90,-9.44,-7.87,-3.67,5.53,-0.87,-1.72
1952,-9.64,-7.94,-9.14,-4.74,1.66,4.06,5.66,5.76,3.46,-0.64,999.90,-3.54,-9.01,-4.07,5.16,-0.32,-2.06
1953,-8.94,-7.04,-9.84,-0.44,2.46,3.56,6.46,5.66,2.66,-2.44,999.90,-12.94,-6.51,-2.61,5.23,-1.62,-1.38
1954,-7.64,-11.14,-5.74,-4.24,2.26,3.56,5.46,5.96,3.26,-0.84,999.90,-10.04,-10.57,-2.57,4.99,-0.52,-2.17
1955,-9.64,-5.04,-4.74,-5.54,1.26,4.66,3.76,4.86,2.06,0.46,-0.44,-4.74,-8.24,-3.01,4.43,0.69,-1.53
1956,-11.34,-8.24,-5.84,-1.24,-0.84,3.06,5.46,6.56,2.66,-2.14,999.90,-12.44,-8.11,-2.64,5.03,-1.47,-1.80
1957,-12.34,-7.94,-5.64,-3.24,0.86,5.86,6.16,6.36,4.36,-2.04,999.90,-7.44,-10.91,-2.67,6.13,-0.57,-2.01
1958,-9.22,-5.60,-6.50,-5.42,0.92,5.23,8.02,7.36,3.76,-1.00,-4.80,999.90,-7.42,-3.67,6.87,-0.68,-1.22
