YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-4.80,-0.70,1.30,5.70,10.50,16.60,16.50,19.40,13.50,1.00,-0.50,-5.46,-2.35,5.83,17.50,4.67,6.41
1881,-8.56,-7.16,-5.36,0.94,10.24,15.24,16.04,13.94,11.44,3.74,2.14,0.57,-7.06,1.94,15.07,5.77,3.93
1882,0.27,-1.33,2.37,4.67,10.97,15.27,16.67,16.47,12.87,5.77,-1.43,-5.09,-0.16,6.00,16.14,5.74,6.93
1883,-5.29,-1.79,-2.89,5.81,10.91,15.61,17.41,15.41,11.11,5.91,2.21,-3.26,-4.06,4.61,16.14,6.41,5.78
1884,-3.26,-1.26,0.64,4.44,9.24,14.54,17.14,16.74,13.74,7.24,-0.56,-4.43,-2.59,4.77,16.14,6.81,6.28
1885,-6.13,-1.53,-0.43,5.47,8.17,13.67,17.17,13.77,9.77,3.87,-0.83,-1.49,-4.03,4.40,14.87,4.27,4.88
1886,-3.19,-3.89,-2.89,4.11,9.61,15.01,16.71,15.21,11.01,5.51,2.61,-6.16,-2.86,3.61,15.64,6.38,5.69
1887,-1.76,-0.66,0.94,4.34,10.84,16.84,16.44,14.24,11.04,4.24,-1.06,-4.26,-2.86,5.37,15.84,4.74,5.77
1888,-4.06,-8.56,-6.96,1.44,9.14,15.94,15.94,13.94,11.14,4.34,-0.96,-0.46,-5.63,1.21,15.27,4.84,3.92
1889,-1.86,-5.36,-1.96,5.24,15.44,20.24,16.44,14.54,9.94,6.84,0.74,-1.66,-2.56,6.24,17.07,5.84,6.65
1890,0.14,-3.26,0.84,4.64,13.24,13.74,14.54,14.74,12.34,4.44,0.34,-5.36,-1.59,6.24,14.34,5.71,6.17
1891,-6.16,-1.96,-1.96,4.44,9.84,15.14,17.34,14.24,11.44,7.74,-0.86,-2.56,-4.49,4.11,15.57,6.11,5.32
1892,-7.46,-4.95,-0.56,4.54,9.44,14.14,16.64,14.44,10.94,5.64,1.74,-5.56,-4.99,4.47,15.07,6.11,5.17
1893,-8.46,-10.26,0.74,5.54,10.44,16.14,17.84,15.64,9.94,5.64,-1.86,-0.26,-8.09,5.57,16.54,4.57,4.65
1894,-1.96,-1.96,2.24,6.94,9.14,15.64,18.74,14.64,9.84,3.94,2.64,-2.06,-1.39,6.11,16.34,5.47,6.63
1895,-7.16,-7.76,-1.26,4.84,14.14,15.54,15.24,15.14,12.04,3.14,-0.76,-4.07,-5.66,5.91,15.31,4.81,5.09
1896,-5.07,-1.27,0.03,4.93,12.03,18.13,18.93,15.03,11.43,5.73,-1.97,-3.47,-3.47,5.66,17.36,5.06,6.16
1897,-5.77,-4.37,-1.37,5.33,11.13,16.33,19.33,17.43,10.83,4.73,0.13,-0.87,-4.54,5.03,17.70,5.23,5.86
1898,0.33,-2.27,-0.87,3.73,9.43,15.03,15.23,13.93,11.23,6.13,0.63,-1.67,-0.94,4.10,14.73,6.00,5.97
1899,-5.87,-3.17,-1.37,3.93,9.63,15.33,19.63,16.93,10.83,5.73,3.73,-3.57,-3.57,4.06,17.30,6.76,6.14
1900,-3.87,-8.66,-1.57,3.83,8.63,17.13,16.83,15.53,11.23,6.03,0.93,-2.36,-5.37,3.63,16.50,6.06,5.21
1901,-5.97,-7.97,-1.57,5.73,12.73,15.03,22.43,17.13,12.43,8.63,-1.97,-3.77,-5.43,5.63,18.20,6.36,6.19
1902,-1.47,-5.67,-0.87,3.53,7.93,15.63,14.63,12.73,9.53,3.93,-0.37,-6.27,-3.64,3.53,14.33,4.36,4.65
1903,-6.07,0.33,2.93,3.73,10.63,15.63,15.93,14.23,11.43,4.13,-0.27,-2.57,-4.00,5.76,15.26,5.10,5.53
1904,-1.77,-5.27,-1.67,4.43,8.73,15.23,17.73,15.73,11.23,6.53,-1.07,-3.28,-3.20,3.83,16.23,5.56,5.61
1905,-2.78,-1.28,0.92,3.42,10.92,17.32,17.82,14.12,10.82,2.52,-0.28,-0.98,-2.45,5.09,16.42,4.35,5.85
1906,-2.58,-2.18,-0.48,5.52,10.82,17.42,16.82,15.32,11.72,6.32,2.72,-2.48,-1.91,5.29,16.52,6.92,6.70
1907,-5.18,-2.78,0.92,4.62,8.82,13.32,15.32,13.12,10.42,9.42,1.82,-5.08,-3.48,4.79,13.92,7.22,5.61
1908,-3.98,-0.08,-2.37,4.42,9.72,15.12,17.32,16.02,10.32,7.52,0.22,-0.98,-3.05,3.92,16.15,6.02,5.76
1909,-1.98,-5.68,-2.68,3.02,7.82,15.02,15.82,14.82,10.92,8.32,-1.18,-3.48,-2.88,2.72,15.22,6.02,5.27
1910,-4.78,-0.38,1.82,5.42,11.82,15.92,16.42,15.42,11.92,5.82,-0.48,-1.88,-2.88,6.35,15.92,5.75,6.29
1911,-2.78,-1.28,0.82,5.32,12.82,15.02,17.92,17.52,12.42,3.72,0.92,0.32,-1.98,6.32,16.82,5.69,6.71
1912,-7.58,-4.47,1.82,4.92,10.62,15.32,18.32,14.62,9.42,4.32,0.12,-0.08,-3.91,5.79,16.09,4.62,5.65
1913,-4.58,-1.08,1.82,5.92,11.72,15.02,18.02,14.62,11.42,6.42,3.52,-3.68,-1.91,6.49,15.89,7.12,6.90
1914,-6.18,0.62,-0.38,6.72,9.72,16.32,21.52,16.62,12.12,5.42,0.62,0.91,-3.08,5.35,18.15,6.05,6.62
1915,-5.29,-2.29,-1.99,4.81,9.81,14.11,15.61,15.11,10.01,3.21,-1.59,-9.09,-2.22,4.21,14.94,3.88,5.20
1916,-1.19,-2.69,-2.19,4.81,10.61,12.71,17.31,15.11,10.21,4.21,3.21,-1.59,-4.32,4.41,15.04,5.88,5.25
1917,-11.19,-6.19,-3.89,2.31,10.91,16.61,16.81,17.21,12.01,6.01,0.81,-4.19,-6.32,3.11,16.88,6.28,4.99
1918,-6.69,-1.89,-0.49,5.71,12.71,13.91,16.91,15.51,9.11,7.71,2.01,-2.49,-4.26,5.98,15.44,6.28,5.86
1919,-1.99,-6.69,-0.99,4.01,13.41,13.91,18.91,13.71,11.51,5.01,-3.09,-5.69,-3.72,5.48,15.51,4.48,5.44
1920,-5.29,0.11,2.81,4.91,11.01,15.71,16.01,14.01,11.01,3.61,2.01,-2.19,-3.62,6.24,15.24,5.54,5.85
1921,-1.99,-2.89,3.31,8.61,11.41,14.41,17.51,14.11,10.51,7.11,-1.09,-1.49,-2.36,7.78,15.34,5.51,6.57
1922,-5.69,-3.89,-0.59,3.11,10.11,14.51,15.71,14.11,10.11,4.21,0.61,-0.89,-3.69,4.21,14.78,4.98,5.07
1923,0.21,-5.29,0.21,4.01,8.41,11.81,17.01,13.81,10.11,5.81,-1.69,-4.89,-1.99,4.21,14.21,4.74,5.29
1924,-3.99,-5.39,-3.29,3.01,8.71,13.71,15.51,15.11,12.01,7.01,1.31,2.20,-4.76,2.81,14.78,6.78,4.90
1925,-0.40,0.10,-1.30,5.70,10.10,15.40,19.70,16.00,10.90,5.00,-3.40,-7.60,0.63,4.83,17.03,4.17,6.67
1926,-3.40,-5.10,1.00,5.90,9.80,14.60,18.40,15.80,11.20,2.70,2.20,-4.20,-5.37,5.57,16.27,5.37,5.46
1927,-1.10,-3.10,1.60,3.80,7.40,11.30,18.10,16.30,10.20,4.90,-1.70,-8.30,-2.80,4.27,15.23,4.47,5.29
1928,-3.20,-2.80,-1.60,4.50,10.40,11.90,14.40,14.20,10.40,5.60,1.00,-2.39,-4.77,4.43,13.50,5.67,4.71
1929,-5.90,-7.90,1.90,2.50,9.90,13.00,16.30,13.30,11.70,6.30,3.30,1.50,-5.40,4.77,14.20,7.10,5.17
1930,1.10,-2.70,0.30,6.50,11.40,15.20,17.20,15.80,10.30,6.60,1.70,-0.30,-0.03,6.07,16.07,6.20,7.08
1931,-5.60,-2.90,-3.00,3.60,10.50,12.90,16.30,14.20,9.20,5.60,3.80,-2.30,-2.93,3.70,14.47,6.20,5.36
1932,0.80,-0.50,-0.70,4.80,10.80,14.50,17.30,16.50,10.60,3.90,0.60,0.90,-0.67,4.97,16.10,5.03,6.36
1933,-2.50,-2.70,0.40,5.20,10.40,18.20,18.90,16.10,999.90,6.70,0.30,-4.11,-1.43,5.33,17.73,6.18,6.95
1934,-0.21,0.29,1.49,5.09,10.99,15.49,18.09,16.19,12.69,7.49,1.19,1.99,-1.34,5.86,16.59,7.12,7.06
1935,-3.31,-1.21,0.09,5.29,10.09,14.99,18.29,16.69,10.79,6.49,3.89,-1.71,-0.84,5.16,16.66,7.06,7.01
1936,-2.91,-4.61,0.59,4.09,12.29,17.29,17.29,16.39,9.89,4.59,2.29,1.59,-3.08,5.66,16.99,5.59,6.29
1937,-2.31,-4.41,-2.70,5.97,12.13,13.60,18.63,18.53,11.60,8.41,0.10,-5.81,-1.71,5.13,16.92,6.70,6.76
1938,-3.22,-0.64,4.16,5.77,9.50,13.35,16.78,17.59,12.90,7.32,3.73,-2.11,-3.22,6.48,15.91,7.98,6.79
1939,-3.85,-0.60,0.11,5.05,10.62,15.64,16.56,17.95,12.48,3.49,2.05,-5.55,-2.19,5.26,16.72,6.01,6.45
1940,-8.03,-8.97,-2.83,2.97,12.18,17.39,16.78,14.33,9.92,5.16,1.05,-3.86,-7.52,4.11,16.17,5.38,4.53
1941,-12.77,-7.58,-1.52,3.27,9.46,16.07,19.67,15.04,11.61,5.20,0.37,-4.40,-8.07,3.74,16.93,5.73,4.58
1942,-11.94,-8.56,-5.00,5.02,9.97,13.27,16.70,15.84,11.06,6.53,2.19,-1.13,-8.30,3.33,15.27,6.59,4.22
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1944,-2.23,-1.63,0.26,4.26,9.13,13.09,18.27,17.46,11.24,7.46,0.85,-0.05,-1.53,4.55,16.27,6.52,6.45
1945,-5.15,-1.40,3.20,6.73,10.55,14.91,19.07,18.93,11.58,6.65,-0.30,-2.02,-2.20,6.83,17.64,5.98,7.06
1946,-4.31,-3.27,-0.77,7.29,11.88,14.13,17.79,15.62,12.35,4.77,2.69,-1.14,-3.20,6.13,15.85,6.60,6.35
1947,-3.36,-12.45,-3.68,4.56,14.47,17.61,18.84,20.53,14.33,6.27,-2.32,-2.79,-5.65,5.12,18.99,6.09,6.14
1948,-7.28,-3.65,1.79,7.45,12.22,14.90,17.67,15.40,12.00,4.95,0.44,0.75,-4.57,7.15,15.99,5.80,6.09
1949,-0.49,0.58,0.20,6.43,11.78,15.16,18.59,15.33,14.52,6.83,2.53,-2.04,0.28,6.14,16.36,7.96,7.68
1950,-5.24,-2.12,1.51,6.25,12.33,14.69,16.38,16.55,11.23,6.74,-0.60,-4.45,-3.13,6.70,15.87,5.79,6.31
1951,-5.30,-1.93,-2.79,3.62,9.96,14.32,15.55,16.06,12.81,6.99,2.81,1.05,-3.89,3.60,15.31,7.54,5.64
1952,-4.13,-2.12,-1.78,6.98,11.12,12.74,16.50,14.71,9.05,4.26,-1.74,-3.57,-1.73,5.44,14.65,3.86,5.55
1953,-4.63,-4.79,3.15,5.54,10.93,18.16,16.75,15.18,11.30,9.01,3.62,0.65,-4.33,6.54,16.70,7.98,6.72
1954,-5.61,-7.42,-0.10,4.02,12.47,14.35,15.83,15.62,11.19,5.56,1.25,0.07,-4.13,5.46,15.27,6.00,5.65
1955,-4.50,-5.55,-1.11,3.47,8.43,13.98,21.08,19.36,13.18,5.92,1.43,-5.23,-3.33,3.60,18.14,6.84,6.31
1956,-6.64,-7.65,-0.49,4.33,11.36,14.31,17.08,13.69,11.35,6.13,-1.05,-0.95,-6.51,5.07,15.03,5.48,4.77
1957,-1.98,-2.85,-0.20,5.14,9.48,14.15,17.66,15.50,10.26,6.26,1.13,-1.94,-1.93,4.81,15.77,5.88,6.13
1958,-4.85,-7.37,-3.52,3.54,9.00,15.16,17.28,15.11,12.97,8.11,2.11,-3.60,-4.72,3.01,15.85,7.73,5.47
1959,-6.70,-2.66,1.81,5.90,12.11,15.46,18.73,18.20,12.99,6.54,3.13,-0.95,-4.32,6.61,17.46,7.55,6.83
1960,-3.44,-6.44,1.25,5.54,12.70,16.53,15.54,15.60,11.60,4.34,0.81,-1.45,-3.61,6.50,15.89,5.58,6.09
1961,-4.80,-1.28,3.79,6.17,11.25,15.88,16.83,14.68,12.93,9.74,2.12,-5.39,-2.51,7.07,15.80,8.26,7.16
1962,-2.53,-0.82,-3.77,5.22,8.75,13.39,15.29,13.61,10.73,7.38,0.00,-6.29,-2.91,3.40,14.10,6.04,5.16
1963,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1964,-2.64,-3.03,0.19,6.30,11.65,13.85,14.71,15.18,11.12,5.65,1.30,-3.04,-2.44,6.05,14.58,6.02,6.05
1965,-2.65,-1.67,-0.24,5.34,9.58,14.96,14.80,14.33,12.16,7.32,-2.63,-7.08,-2.45,4.89,14.70,5.62,5.69
1966,-8.27,-9.83,0.17,1.57,10.04,17.34,17.27,15.16,11.42,6.00,2.04,-2.58,-8.39,3.93,16.59,6.49,4.65
1967,-7.27,-2.64,2.68,4.91,9.61,14.93,16.47,16.32,12.56,7.04,3.58,-3.94,-4.16,5.73,15.91,7.73,6.30
1968,-7.01,-5.11,1.21,6.68,9.69,16.31,16.29,16.90,12.64,5.40,-2.15,-4.20,-5.35,5.86,16.50,5.30,5.58
1969,-3.20,-7.41,-2.86,4.92,10.40,17.45,17.31,18.77,12.28,7.65,-1.35,-4.67,-4.94,4.15,17.84,6.19,5.81
1970,-7.67,-10.46,-1.14,2.70,11.97,18.29,14.96,16.72,11.09,6.61,-0.55,-1.35,-7.60,4.51,16.66,5.72,4.82
1971,-2.28,-0.21,-1.63,5.11,11.56,14.45,17.18,15.32,11.58,7.34,-0.77,0.79,-1.28,5.01,15.65,6.05,6.36
1972,-6.14,-2.90,0.41,5.26,11.73,14.83,18.40,15.00,10.54,7.11,1.52,1.80,-2.75,5.80,16.08,6.39,6.38
1973,-0.12,-0.24,3.78,4.58,10.87,15.73,18.70,15.12,10.31,3.99,-0.77,-3.05,0.48,6.41,16.52,4.51,6.98
1974,-0.02,0.29,1.86,7.96,11.77,15.17,15.48,15.53,11.99,5.03,1.51,-0.66,-0.93,7.20,15.39,6.18,6.96
1975,0.34,-3.32,0.79,4.67,11.64,14.57,18.23,18.80,12.35,7.49,2.59,0.76,-1.21,5.70,17.20,7.48,7.29
1976,-5.11,-2.41,-1.23,5.39,11.75,16.15,18.63,18.27,10.06,5.21,0.82,-4.36,-2.25,5.30,17.68,5.36,6.52
1977,-4.38,-5.76,1.08,2.85,11.76,15.86,16.74,16.01,10.78,7.43,1.71,-1.77,-4.83,5.23,16.20,6.64,5.81
1978,-2.34,-6.66,-1.00,4.33,11.81,16.64,15.68,15.48,9.53,6.68,4.04,-8.06,-3.59,5.05,15.93,6.75,6.04
1979,-8.08,-6.22,-0.29,4.26,9.07,16.13,16.04,14.68,10.96,4.94,-0.10,-3.57,-7.45,4.35,15.62,5.27,4.44
1980,-6.64,-7.36,-2.15,5.96,12.31,16.36,17.55,15.63,12.18,4.73,-1.75,-1.49,-5.86,5.37,16.51,5.05,5.27
1981,-4.09,-3.58,-1.70,5.08,12.63,13.27,16.65,15.83,12.85,5.43,0.70,-8.88,-3.05,5.34,15.25,6.33,5.97
1982,-7.89,-3.43,2.10,5.73,10.50,14.35,18.57,16.77,12.43,6.49,2.89,-1.69,-6.73,6.11,16.56,7.27,5.80
1983,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1984,-4.95,-2.65,-1.01,5.94,12.93,15.33,16.74,16.80,10.39,8.22,2.83,0.58,-3.40,5.95,16.29,7.15,6.50
1985,-8.68,-8.91,-0.41,2.89,11.94,14.54,16.61,15.06,9.47,8.00,-1.15,-6.86,-5.67,4.81,15.40,5.44,5.00
1986,-7.03,-6.89,0.74,3.12,11.42,16.81,17.10,13.67,9.06,6.85,4.15,-1.52,-6.93,5.09,15.86,6.69,5.18
1987,-10.49,-3.96,-3.69,5.75,9.87,12.62,16.84,13.61,10.19,7.91,0.65,-2.71,-5.32,3.98,14.36,6.25,4.82
1988,0.76,-1.13,-1.21,3.69,12.60,18.98,16.97,15.53,12.54,5.34,-0.97,-2.86,-1.03,5.03,17.16,5.64,6.70
1989,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1991,-2.82,-3.84,2.11,5.97,11.07,12.27,18.91,17.24,11.89,6.88,2.44,0.17,-2.93,6.38,16.14,7.07,6.67
1992,-0.29,0.25,2.87,4.59,13.56,18.07,17.03,14.58,11.58,3.36,1.08,-0.79,0.04,7.01,16.56,5.34,7.24
1993,0.05,-0.64,1.38,6.55,13.32,14.08,15.39,13.53,9.35,4.68,-0.45,-3.57,-0.46,7.08,14.33,4.53,6.37
1994,-4.08,-7.52,0.59,6.64,11.30,14.16,20.69,16.66,10.66,5.64,1.97,0.00,-5.06,6.18,17.17,6.09,6.10
1995,-2.75,-0.37,1.63,4.73,10.33,15.75,16.81,18.26,11.61,8.95,-0.31,-6.27,-1.04,5.56,16.94,6.75,7.05
1996,-4.91,-6.26,-0.25,5.56,9.16,14.67,16.18,18.92,10.68,7.78,0.36,-4.35,-5.81,4.82,16.59,6.27,5.47
1997,-3.76,-0.15,2.81,5.43,9.60,16.52,19.64,20.88,13.08,5.00,1.56,-0.99,-2.75,5.95,19.01,6.55,7.19
1998,-0.95,1.51,1.11,4.71,11.81,13.84,16.01,14.92,13.00,5.64,-0.69,-0.63,-0.14,5.88,14.92,5.98,6.66
1999,-2.26,-2.20,0.74,7.18,9.91,14.64,17.70,16.45,14.72,6.76,4.07,-2.55,-1.70,5.94,16.26,8.52,7.26
2000,-0.55,-0.37,2.38,6.66,12.82,13.79,16.76,15.87,11.77,9.60,5.91,1.31,-1.16,7.29,15.47,9.09,7.67
2001,-3.04,-4.90,-1.37,4.73,12.14,14.85,18.15,16.36,12.08,9.01,2.17,-3.20,-2.21,5.17,16.45,7.75,6.79
2002,-2.76,0.69,2.69,7.36,13.21,16.57,17.85,20.45,13.68,3.69,-1.04,-5.79,-1.76,7.75,18.29,5.44,7.43
2003,-3.83,-2.45,2.12,6.25,10.46,16.65,19.32,17.66,12.86,4.25,2.99,0.48,-4.02,6.28,17.88,6.70,6.71
2004,-3.79,-1.23,2.51,7.60,12.52,14.76,16.49,18.26,12.91,6.74,1.12,0.17,-1.51,7.54,16.50,6.92,7.36
2005,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2006,-2.32,-2.90,-3.04,4.94,12.20,16.48,20.42,18.68,15.41,8.59,4.19,2.60,-2.21,4.70,18.53,9.40,7.60
2007,-0.91,-3.01,4.55,8.02,11.05,17.39,16.61,16.96,11.24,7.15,1.72,-1.39,-0.44,7.87,16.99,6.70,7.78
2008,0.81,2.14,1.07,7.09,12.62,16.11,18.65,15.77,11.17,7.03,2.24,-1.06,0.52,6.93,16.84,6.81,7.78
2009,-2.14,-4.65,1.46,8.38,12.39,16.13,18.16,16.84,13.41,4.85,3.90,-3.75,-2.62,7.41,17.04,7.39,7.31
2010,-7.86,-6.10,0.70,6.37,11.31,15.68,18.42,16.77,11.59,6.04,-1.75,-9.25,-5.90,6.13,16.96,5.29,5.62
2011,-3.29,-4.69,0.80,9.85,11.78,16.30,18.60,16.68,13.25,7.77,4.74,0.64,-5.74,7.48,17.19,8.59,6.88
2012,-2.30,-2.23,6.14,5.31,12.67,14.09,16.72,16.80,11.57,5.52,3.07,-5.15,-1.30,8.04,15.87,6.72,7.33
2013,-4.76,-2.89,-1.77,4.56,13.22,15.43,18.71,16.90,12.62,7.81,2.59,1.92,-4.27,5.34,17.01,7.67,6.44
