YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,-0.02,7.39,14.15,17.69,20.73,25.28,26.73,26.97,23.84,20.65,11.38,9.58,5.97,17.52,26.33,18.62,17.11
1941,8.13,7.38,10.25,18.49,23.30,25.21,28.42,28.64,25.94,21.51,12.04,8.91,8.36,17.35,27.42,19.83,18.24
1942,5.98,7.84,12.99,18.49,20.93,26.57,28.38,28.08,23.16,18.43,15.22,8.53,7.58,17.47,27.68,18.94,17.91
1943,7.32,10.64,10.31,19.47,22.30,27.58,29.09,30.49,24.21,17.59,12.21,6.61,8.83,17.36,29.05,18.00,18.31
1944,7.58,10.85,12.42,17.01,21.56,27.32,28.88,28.96,24.08,19.73,13.62,5.70,8.35,17.00,28.39,19.14,18.22
1945,6.15,999.90,16.39,17.97,20.58,25.90,26.70,27.79,25.45,18.18,15.44,6.17,6.45,18.31,26.80,19.69,17.81
1946,6.91,11.20,16.12,20.60,20.83,25.49,29.51,28.84,24.09,19.63,13.77,11.25,8.09,19.18,27.95,19.16,18.60
1947,7.11,5.83,9.71,18.26,21.28,26.50,28.29,30.29,26.16,22.64,10.49,8.95,8.06,16.42,28.36,19.76,18.15
1948,3.13,7.47,11.65,20.83,22.36,27.92,29.06,29.16,25.31,18.43,12.55,9.16,6.52,18.28,28.71,18.76,18.07
1949,4.98,8.64,12.77,17.57,23.60,27.17,29.15,27.63,23.37,18.64,13.94,9.30,7.59,17.98,27.98,18.65,18.05
1950,10.04,10.19,11.99,16.88,22.31,26.25,26.41,26.77,22.39,21.08,11.73,6.97,9.84,17.06,26.48,18.40,17.95
1951,7.58,8.11,13.15,16.85,21.71,25.67,28.99,31.99,25.07,19.38,9.95,8.33,7.55,17.24,28.88,18.13,17.95
1952,10.95,11.04,11.53,16.17,21.82,28.31,29.09,31.00,25.68,17.03,12.44,6.80,10.11,16.51,29.47,18.38,18.62
1953,8.50,9.29,15.77,15.42,21.90,30.16,28.06,27.61,25.11,21.30,11.61,6.55,8.20,17.70,28.61,19.34,18.46
1954,7.02,12.81,12.54,20.43,19.06,27.19,32.36,31.77,27.64,19.85,12.51,8.84,8.79,17.34,30.44,20.00,19.14
1955,7.39,8.33,13.64,19.87,23.64,25.46,29.51,27.79,25.76,18.89,11.75,7.34,8.19,19.05,27.59,18.80,18.41
1956,5.97,8.75,12.74,17.73,24.39,26.80,31.19,30.94,26.50,21.24,10.57,10.03,7.35,18.29,29.64,19.44,18.68
1957,5.90,12.03,11.14,16.36,22.11,25.98,29.92,27.89,23.01,16.26,999.90,999.90,9.32,16.54,27.93,16.46,17.56
1958,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1959,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1960,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1962,3.06,11.65,11.04,16.67,24.45,25.77,28.74,29.22,24.40,20.76,11.78,7.48,7.43,17.39,27.91,18.98,17.93
1963,1.80,6.63,15.52,20.02,22.91,27.66,28.81,29.76,25.24,23.13,14.21,3.50,5.30,19.48,28.74,20.86,18.60
1964,6.45,6.51,11.86,19.40,23.30,26.14,30.20,28.74,24.31,17.21,14.70,7.03,5.49,18.19,28.36,18.74,17.69
1965,7.88,7.03,8.13,20.62,22.99,26.08,29.57,28.41,25.34,18.24,15.96,9.44,7.31,17.25,28.02,19.85,18.11
1966,4.00,6.76,13.39,17.99,21.09,25.88,29.91,26.46,23.01,17.36,15.36,6.30,6.73,17.49,27.42,18.58,17.55
1967,7.39,7.60,16.82,19.69,20.90,27.11,26.66,27.25,22.20,18.18,12.57,7.32,7.10,19.14,27.01,17.65,17.72
1968,5.30,6.20,12.20,17.71,21.70,26.22,27.20,28.14,22.61,18.03,11.11,7.01,6.27,17.20,27.19,17.25,16.98
1969,7.05,8.58,9.20,18.21,22.29,26.10,30.79,28.72,24.76,17.88,11.38,7.85,7.55,16.57,28.54,18.01,17.66
1970,3.32,7.95,10.58,18.83,22.38,26.14,28.28,29.56,25.44,17.35,11.34,10.50,6.37,17.26,27.99,18.04,17.42
1971,7.30,8.40,12.26,17.94,21.07,28.16,28.97,26.19,25.00,20.56,12.76,10.37,8.73,17.09,27.77,19.44,18.26
1972,5.88,9.54,16.01,19.29,22.35,27.30,28.02,28.58,26.63,18.32,8.55,5.21,8.60,19.22,27.97,17.83,18.40
