YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,10.81,8.91,12.41,16.61,21.51,24.21,25.51,24.61,20.41,15.21,7.01,3.41,9.86,16.84,24.78,14.21,16.42
1881,2.91,6.61,8.61,14.61,21.51,25.11,27.31,26.71,24.31,19.61,10.11,8.51,4.31,14.91,26.38,18.01,15.90
1882,7.51,9.19,13.69,18.09,19.19,21.99,24.79,24.79,21.99,19.19,9.79,3.69,8.40,16.99,23.86,16.99,16.56
1883,5.89,9.79,9.79,16.49,18.09,24.79,26.49,23.69,21.99,19.19,10.89,7.59,6.46,14.79,24.99,17.36,15.90
1884,0.89,9.59,11.99,14.19,21.49,21.99,25.39,24.19,22.59,19.19,8.69,6.99,6.02,15.89,23.86,16.82,15.65
1885,3.09,3.09,7.59,15.39,18.99,24.39,25.39,999.90,999.90,13.69,9.19,4.79,4.39,13.99,25.03,14.54,14.49
1886,1.99,4.79,10.39,16.49,20.39,23.69,24.79,25.39,23.09,16.99,9.19,3.69,3.86,15.76,24.62,16.42,15.16
1887,3.09,11.49,11.49,16.49,22.59,24.79,25.39,25.39,21.49,14.19,9.79,5.39,6.09,16.86,25.19,15.16,15.82
1888,5.89,9.19,10.39,16.49,20.39,999.90,26.99,26.99,999.90,999.90,999.90,999.90,6.82,15.76,26.48,999.90,16.51
1889,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1890,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1891,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1892,999.90,999.90,9.19,16.19,19.69,24.39,25.49,24.99,20.49,15.69,9.09,5.19,999.90,15.02,24.96,15.09,15.10
1893,1.01,7.75,10.88,17.30,19.52,23.72,27.85,25.69,22.11,15.14,999.90,6.25,4.65,15.90,25.75,15.55,15.46
1894,999.90,999.90,12.61,16.06,20.69,24.80,25.44,25.62,23.42,15.58,999.90,6.61,999.90,16.45,25.29,16.43,16.13
1895,4.44,999.90,9.58,15.62,19.46,24.64,25.28,25.44,23.99,13.34,10.20,5.29,5.98,14.89,25.12,15.84,15.46
1896,999.90,999.90,999.90,999.90,23.39,24.57,26.57,999.90,999.90,999.90,12.24,5.66,999.90,999.90,25.71,999.90,999.90
1897,2.86,999.90,12.66,999.90,19.44,999.90,999.90,999.90,22.91,17.52,10.22,6.40,4.72,16.08,999.90,16.88,15.70
1898,7.64,4.76,999.90,12.91,21.98,26.25,26.50,26.11,22.95,999.90,8.07,4.82,6.27,15.16,26.29,15.48,15.80
1899,4.51,3.81,10.14,14.62,999.90,26.44,26.33,27.58,21.72,16.86,11.13,4.66,4.38,14.64,26.78,16.57,15.59
1900,4.20,4.80,9.42,16.69,20.88,24.38,26.92,27.71,999.90,18.98,10.63,999.90,4.55,15.66,26.34,17.90,16.11
1901,999.90,999.90,9.44,12.34,999.90,25.56,28.03,999.90,999.90,999.90,7.23,3.50,999.90,13.15,26.93,999.90,999.90
1902,3.72,3.32,10.53,15.21,23.90,26.86,28.47,26.92,21.17,16.16,12.84,5.22,3.51,16.55,27.42,16.72,16.05
1903,4.92,999.90,14.11,15.43,20.73,22.53,26.61,26.70,22.35,15.61,9.12,2.82,5.53,16.76,25.28,15.69,15.81
1904,3.27,6.16,12.08,13.90,20.64,24.89,25.98,25.29,23.65,15.73,9.15,6.33,4.08,15.54,25.39,16.18,15.30
1905,1.94,1.90,13.07,16.29,22.71,25.69,26.01,25.77,23.47,16.08,10.54,4.42,3.39,17.36,25.82,16.70,15.82
1906,5.97,6.07,8.82,16.73,21.09,25.82,25.65,27.05,25.03,15.26,10.17,7.48,5.49,15.55,26.17,16.82,16.01
1907,9.75,5.71,15.81,11.86,20.15,23.39,27.58,26.50,22.69,15.09,8.53,4.96,7.65,15.94,25.82,15.44,16.21
1908,3.78,4.37,14.30,18.09,20.99,25.00,26.80,26.17,999.90,14.72,11.49,7.47,4.37,17.79,25.99,16.20,16.09
1909,7.41,6.87,10.64,15.74,19.72,25.19,25.48,26.06,22.56,15.38,12.77,2.21,7.25,15.37,25.58,16.90,16.27
1910,4.83,4.82,14.29,15.79,19.02,23.00,25.92,25.80,24.15,17.63,7.57,999.90,3.95,16.37,24.91,16.45,15.42
1911,6.99,9.23,11.01,15.10,22.12,27.20,25.76,26.42,26.63,19.72,8.21,7.15,8.11,16.08,26.46,18.19,17.21
1912,2.40,4.11,9.43,16.59,21.42,24.15,26.03,25.91,24.97,16.98,7.88,5.67,4.55,15.81,25.36,16.61,15.59
1913,8.17,6.32,10.51,15.31,21.39,25.18,28.43,27.29,22.35,15.11,10.40,6.32,6.72,15.74,26.97,15.95,16.34
1914,5.60,5.25,8.47,15.84,21.24,27.80,27.91,26.18,22.47,16.87,9.26,3.84,5.72,15.18,27.30,16.20,16.10
1915,3.96,7.10,6.31,17.41,23.13,24.60,26.45,25.92,23.55,17.87,11.10,4.93,4.97,15.62,25.66,17.51,15.94
1916,7.93,5.77,9.24,15.23,22.17,24.04,26.20,26.52,22.41,15.99,9.47,4.90,6.21,15.55,25.59,15.96,15.82
1917,6.78,5.54,11.42,17.18,17.75,24.09,26.37,25.08,22.11,12.89,8.15,1.41,5.74,15.45,25.18,14.38,15.19
1918,-0.23,8.65,14.35,14.47,21.62,25.47,24.80,26.61,19.95,17.85,9.39,8.31,3.28,16.81,25.63,15.73,15.36
1919,4.94,6.73,11.23,15.69,20.03,24.88,25.97,25.67,23.00,21.63,11.17,5.92,6.66,15.65,25.51,18.60,16.60
1920,5.43,5.76,9.58,15.33,19.79,24.35,25.88,24.68,24.10,16.38,8.71,5.20,5.70,14.90,24.97,16.40,15.49
1921,6.96,8.76,16.06,15.92,20.55,26.72,27.56,26.10,26.63,15.36,12.02,8.08,6.97,17.51,26.79,18.00,17.32
1922,5.65,9.49,11.62,17.61,21.27,25.38,26.25,24.78,24.01,16.92,11.03,9.62,7.74,16.83,25.47,17.32,16.84
1923,8.21,6.44,11.14,15.93,19.61,24.40,25.61,25.84,24.36,16.01,9.26,10.04,8.09,15.56,25.28,16.54,16.37
1924,2.39,5.43,8.81,15.63,19.14,25.86,26.03,27.40,20.94,16.20,10.70,6.81,5.95,14.53,26.43,15.95,15.71
1925,5.43,9.61,12.20,18.43,19.69,27.00,27.53,26.10,28.05,15.85,8.94,5.21,7.28,16.77,26.88,17.61,17.14
