YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1907,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,14.78,5.93,-3.41,999.90,999.90,999.90,13.87,999.90
1908,-3.17,-3.47,3.73,11.08,16.08,22.08,24.48,25.63,20.38,14.32,4.22,-0.12,-3.35,10.30,24.06,12.97,11.00
1909,-2.12,-2.72,2.63,11.13,16.53,21.78,25.62,26.43,21.33,13.03,5.83,-2.87,-1.65,10.10,24.61,13.40,11.61
1910,-1.31,-2.57,3.18,10.93,17.73,20.98,24.38,25.53,20.18,14.78,6.28,-4.07,-2.25,10.61,23.63,13.75,11.44
1911,-4.47,-0.17,4.78,10.42,16.68,21.53,24.63,26.33,21.78,12.48,6.58,-2.72,-2.90,10.63,24.16,13.61,11.38
1912,-4.32,1.73,4.78,10.63,15.63,21.83,24.62,25.73,18.88,11.63,2.03,-2.67,-1.77,10.35,24.06,10.85,10.87
1913,-4.92,-3.16,2.63,11.82,15.48,21.23,23.18,24.88,20.32,13.88,5.53,-1.47,-3.58,9.98,23.10,13.24,10.68
1914,-1.56,1.13,5.93,11.43,18.32,22.58,27.28,26.62,21.68,14.83,6.88,-0.51,-0.63,11.89,25.49,14.46,12.80
1915,-3.47,-2.17,1.37,10.17,16.43,21.83,26.33,25.58,20.28,15.73,7.08,1.42,-2.05,9.32,24.58,14.36,11.55
1916,0.73,0.24,1.37,11.73,16.08,21.78,24.68,26.58,20.38,13.63,7.43,-0.67,0.80,9.73,24.35,13.81,12.17
1917,-8.52,-2.92,3.83,11.13,15.13,22.63,26.83,25.88,20.98,14.43,4.07,-5.17,-4.04,10.03,25.11,13.16,11.07
1918,-7.07,0.83,5.13,11.88,15.73,20.98,24.33,25.87,20.32,13.93,5.33,-0.77,-3.80,10.91,23.73,13.19,11.01
1919,-4.37,-0.87,5.63,11.08,16.98,22.08,26.88,27.48,20.48,13.63,6.53,-2.32,-2.00,11.23,25.48,13.55,12.06
1920,-6.77,-2.72,5.88,11.13,18.48,22.58,26.28,26.13,22.03,15.58,7.93,-1.02,-3.94,11.83,25.00,15.18,12.02
1921,-2.32,-0.61,4.13,11.93,17.23,21.03,25.13,26.83,20.82,13.23,4.18,-0.07,-1.32,11.10,24.33,12.74,11.71
1922,-7.57,1.32,3.58,13.23,17.03,22.87,25.08,26.98,21.73,14.83,4.22,-3.66,-2.11,11.28,24.98,13.59,11.94
1923,-5.72,-2.72,5.28,10.13,17.68,21.93,25.08,27.28,20.32,13.18,5.38,-1.77,-4.03,11.03,24.76,12.96,11.18
1924,-2.07,-1.27,1.73,12.07,16.88,22.23,26.58,28.12,21.33,13.18,3.78,-1.44,-1.70,10.23,25.64,12.76,11.73
1925,-3.79,-2.59,2.11,10.71,17.05,21.51,24.11,26.31,20.55,13.96,7.90,-1.41,-2.61,9.96,23.98,14.14,11.37
1926,-4.71,-2.20,3.79,9.79,17.49,21.69,24.83,26.19,21.08,12.04,6.84,-3.68,-2.77,10.36,24.24,13.32,11.29
1927,-4.03,-2.53,3.92,12.32,14.57,22.17,26.62,26.12,20.32,13.37,8.07,-2.15,-3.41,10.27,24.97,13.92,11.44
1928,-5.10,-2.20,4.50,12.70,17.49,22.40,25.85,26.65,21.05,13.20,5.60,-1.77,-3.15,11.56,24.97,13.28,11.67
1929,-4.57,-2.26,5.18,11.18,17.78,23.83,26.98,27.23,19.78,13.73,5.57,1.70,-2.87,11.38,26.01,13.03,11.89
1930,-4.20,1.44,6.75,13.30,17.50,22.35,26.30,27.55,20.30,14.85,3.45,-0.67,-0.35,12.52,25.40,12.87,12.61
