YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1982,999.90,999.90,999.90,999.90,999.90,28.12,27.92,27.57,27.57,27.62,27.62,26.27,999.90,999.90,27.87,27.60,999.90
1983,26.52,28.02,29.02,29.47,28.22,28.07,27.32,27.92,27.17,27.67,26.77,25.47,26.94,28.90,27.77,27.20,27.70
1984,25.92,26.42,27.02,27.62,27.62,27.62,27.42,27.47,27.02,27.67,27.22,26.52,25.94,27.42,27.50,27.30,27.04
1985,27.12,27.81,27.72,28.02,28.22,28.31,27.07,28.02,27.17,26.97,27.17,26.67,27.15,27.99,27.80,27.10,27.51
1986,26.07,27.62,27.02,27.92,28.32,28.17,27.97,28.27,26.82,27.27,26.32,26.78,26.79,27.75,28.14,26.80,27.37
1987,25.96,27.41,28.10,28.67,28.03,28.87,27.77,27.15,27.29,28.57,27.69,27.06,26.72,28.27,27.93,27.85,27.69
1988,27.42,27.98,27.82,28.54,28.58,28.03,27.68,27.36,27.55,27.70,26.77,26.92,27.49,28.31,27.69,27.34,27.71
1989,26.23,27.50,27.15,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,26.88,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.34,27.62,27.37,26.47,999.90,999.90,999.90,27.44,999.90
1991,26.82,27.28,27.97,27.86,27.87,28.72,28.60,28.27,27.69,27.66,26.45,25.76,26.86,27.90,28.53,27.27,27.64
1992,26.77,27.61,28.31,28.55,28.25,28.14,27.39,27.85,27.33,27.55,26.24,25.62,26.71,28.37,27.79,27.04,27.48
1993,26.34,26.89,26.80,27.76,28.28,28.63,28.06,28.72,28.10,27.70,27.01,26.74,26.28,27.61,28.47,27.60,27.49
1994,27.16,27.22,26.99,28.05,28.23,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.04,27.76,999.90,999.90,999.90
1995,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1997,999.90,999.90,999.90,999.90,29.17,29.02,28.64,28.53,28.53,27.99,27.60,27.08,999.90,999.90,28.73,28.04,999.90
1998,27.81,29.25,29.91,29.47,29.41,28.62,27.92,27.52,27.72,27.97,28.02,27.02,28.05,29.60,28.02,27.90,28.39
1999,27.07,27.62,27.67,28.67,28.22,28.27,27.67,27.47,28.12,27.42,27.62,27.07,27.24,28.19,27.80,27.72,27.74
2000,26.57,27.12,27.82,27.97,28.92,27.62,28.17,27.47,28.36,28.07,27.72,27.42,26.92,28.24,27.75,28.05,27.74
2001,26.87,27.42,27.72,28.17,28.67,28.12,28.57,27.87,28.12,27.77,27.47,27.12,27.24,28.19,28.19,27.79,27.85
2002,27.34,27.02,27.92,28.32,28.62,28.42,28.12,28.22,28.12,29.07,27.12,27.72,27.16,28.29,28.25,28.10,27.95
2003,26.97,27.32,28.47,27.62,28.92,28.62,28.02,27.92,27.72,27.32,26.82,26.32,27.34,28.34,28.19,27.29,27.79
2004,27.12,28.07,27.42,28.62,28.62,28.72,27.37,27.92,28.07,27.52,27.72,27.01,27.17,28.22,28.00,27.77,27.79
2005,26.76,29.06,29.06,29.06,28.51,28.76,28.01,28.21,28.31,27.31,27.31,27.51,27.61,28.88,28.33,27.64,28.11
