YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,-6.41,-6.51,-2.01,0.59,7.09,11.59,16.39,16.89,13.99,6.39,2.79,-3.00,-5.20,1.89,14.96,7.72,4.84
1941,-6.50,-5.49,-4.99,1.26,6.23,11.31,17.61,14.27,10.52,6.20,2.39,-2.44,-5.00,0.83,14.40,6.37,4.15
1942,-6.42,-6.68,-1.36,2.15,9.30,12.30,17.59,17.62,15.66,9.37,2.81,-5.01,-5.18,3.36,15.84,9.28,5.83
1943,-9.95,-5.33,-3.46,1.48,5.67,9.79,999.90,999.90,999.90,9.64,3.93,-4.67,-6.76,1.23,999.90,9.34,4.75
1944,-5.12,-7.89,-3.95,0.93,8.41,13.18,16.49,19.18,14.46,7.96,4.67,-1.97,-5.89,1.80,16.28,9.03,5.30
1945,-3.65,-5.26,-1.87,3.84,6.24,11.03,18.32,18.35,14.15,8.05,3.12,-3.58,-3.63,2.74,15.90,8.44,5.86
1946,-6.13,-6.73,-1.26,0.88,8.44,12.81,16.80,17.65,14.81,9.37,2.29,-2.69,-5.48,2.69,15.75,8.82,5.45
1947,-6.60,-4.38,-2.51,-0.50,7.77,11.89,20.66,18.02,13.88,8.59,3.03,-3.63,-4.56,1.59,16.86,8.50,5.60
1948,-4.43,-10.71,-6.31,0.46,6.68,11.58,16.78,17.45,13.01,8.06,3.80,-1.97,-6.26,0.28,15.27,8.29,4.39
1949,-3.77,-6.64,-1.38,2.32,7.28,13.61,18.16,17.52,13.68,8.67,2.74,-0.87,-4.13,2.74,16.43,8.36,5.85
1950,-5.86,-9.70,-6.25,1.55,8.15,13.52,17.55,16.76,11.84,7.56,5.39,0.98,-5.48,1.15,15.94,8.26,4.97
1951,-2.61,-2.28,-0.66,4.40,8.48,12.12,18.33,17.86,13.97,8.27,4.25,-2.76,-1.30,4.07,16.10,8.83,6.93
1952,-4.04,-3.74,-1.90,2.63,6.28,13.61,18.76,18.56,14.31,7.97,2.98,-1.56,-3.51,2.34,16.98,8.42,6.05
1953,-2.66,-3.42,-2.18,4.18,5.91,13.10,17.73,16.47,13.93,8.16,4.94,0.16,-2.55,2.64,15.77,9.01,6.22
1954,-4.92,-2.50,-2.15,0.76,7.51,12.58,17.21,15.84,12.87,8.27,3.73,0.87,-2.42,2.04,15.21,8.29,5.78
1955,-2.28,-4.15,-2.60,0.97,6.55,11.99,16.83,17.37,12.75,7.95,2.57,-4.96,-1.85,1.64,15.40,7.76,5.74
1956,-0.50,-5.87,-5.28,1.38,5.14,12.73,15.79,15.64,12.19,8.48,4.46,-2.14,-3.78,0.41,14.72,8.38,4.93
1957,-9.19,-7.05,-2.74,1.37,6.74,12.24,16.97,16.55,14.04,8.24,3.60,0.90,-6.13,1.79,15.25,8.63,4.89
1958,-1.14,-2.95,-0.52,4.16,8.30,11.17,16.78,18.19,12.54,7.21,2.47,-6.79,-1.06,3.98,15.38,7.41,6.43
1959,-6.99,-10.46,-4.24,1.98,7.76,11.17,18.76,16.50,14.01,7.49,4.41,-0.99,-8.08,1.83,15.48,8.64,4.47
1960,-4.31,-2.13,-3.01,1.52,10.01,14.05,17.62,18.48,14.25,7.09,3.36,-2.37,-2.48,2.84,16.72,8.23,6.33
1961,-8.54,-9.08,-4.90,0.78,7.45,14.69,16.06,18.27,15.71,10.50,5.38,-0.63,-6.66,1.11,16.34,10.53,5.33
1962,-6.24,-9.26,-1.98,2.48,5.59,11.91,13.49,16.41,12.13,7.51,3.97,-2.12,-5.38,2.03,13.94,7.87,4.62
1963,-2.65,-7.41,-5.01,0.20,7.80,11.81,17.42,16.01,12.13,9.52,4.61,-5.51,-4.06,1.00,15.08,8.75,5.19
1964,-6.09,-5.58,-3.42,1.40,6.96,10.29,16.21,15.38,11.33,7.67,1.06,-2.25,-5.73,1.65,13.96,6.69,4.14
1965,-5.54,-7.25,-3.97,-0.27,4.50,12.56,17.12,16.59,12.24,7.01,0.99,-2.75,-5.01,0.09,15.42,6.75,4.31
1966,-3.35,-6.18,-1.25,1.09,7.31,12.64,17.00,17.75,12.39,8.80,5.40,0.51,-4.09,2.38,15.80,8.86,5.74
1967,-4.25,-8.03,-6.20,-1.32,4.49,13.91,20.20,19.96,14.42,9.32,4.30,-1.47,-3.92,-1.01,18.02,9.35,5.61
1968,-6.57,-8.33,-2.07,2.56,6.38,11.11,17.51,15.22,14.31,9.23,2.11,-1.20,-5.46,2.29,14.61,8.55,5.00
1969,-3.59,-2.70,-1.81,1.29,6.24,14.10,15.23,18.06,13.33,7.06,5.21,1.50,-2.50,1.91,15.80,8.53,5.93
1970,-8.79,-4.83,-2.85,0.37,7.97,13.01,18.04,18.18,11.42,8.60,4.26,-3.60,-4.04,1.83,16.41,8.09,5.57
1971,-7.02,-5.93,-1.05,2.44,8.66,11.89,17.76,17.80,13.16,8.13,3.33,-3.92,-5.52,3.35,15.82,8.21,5.46
1972,-6.33,-9.78,-4.54,-0.62,7.04,14.48,16.75,15.91,12.94,6.93,1.25,-5.01,-6.68,0.63,15.71,7.04,4.18
1973,-6.35,-6.02,-2.25,1.07,6.79,14.94,19.82,16.38,12.18,6.78,1.73,0.84,-5.79,1.87,17.05,6.90,5.00
1974,-7.74,-8.02,-3.53,1.85,4.34,12.62,14.52,17.83,13.07,6.08,2.98,-1.32,-4.97,0.89,14.99,7.38,4.57
1975,-5.78,-10.39,-2.98,0.12,6.67,12.60,20.11,16.65,13.68,7.40,3.47,-2.73,-5.83,1.27,16.45,8.18,5.02
1976,-4.90,-5.69,-3.56,1.98,7.92,14.82,16.52,17.89,14.08,7.43,1.09,-4.10,-4.44,2.11,16.41,7.53,5.40
1977,-6.73,-6.12,-1.49,1.63,6.81,11.74,17.36,18.59,12.11,8.55,4.92,-1.77,-5.65,2.32,15.90,8.53,5.27
1978,-4.54,-6.46,-3.89,0.67,7.90,13.63,17.93,17.80,10.93,7.67,0.62,-3.30,-4.26,1.56,16.45,6.41,5.04
1979,-3.21,-8.34,0.37,2.25,9.28,14.42,17.91,16.79,12.81,8.72,5.37,-1.45,-4.95,3.97,16.37,8.97,6.09
1980,-5.62,-7.10,-3.51,2.56,6.09,12.27,16.56,16.70,12.75,7.53,2.51,-4.41,-4.72,1.71,15.18,7.60,4.94
1981,-6.81,-2.60,-0.20,3.09,9.27,13.38,16.79,17.00,13.50,7.87,4.22,1.03,-4.61,4.05,15.72,8.53,5.92
1982,-7.01,-7.48,-4.04,2.78,6.59,10.31,18.03,15.93,13.92,7.38,4.87,-0.90,-4.49,1.78,14.76,8.72,5.19
1983,-3.21,-4.53,-1.14,4.23,7.95,14.18,17.33,16.70,14.67,9.27,4.03,-2.08,-2.88,3.68,16.07,9.32,6.55
1984,-5.73,-2.53,-3.25,1.68,9.05,12.59,19.30,19.86,12.50,7.35,3.45,-1.08,-3.45,2.49,17.25,7.77,6.02
1985,-8.24,-6.58,-4.48,0.44,7.00,12.06,18.74,17.27,13.44,7.40,2.27,-4.26,-5.30,0.99,16.02,7.70,4.85
1986,-3.93,-7.96,-4.40,2.60,7.42,11.72,14.95,16.73,11.02,6.84,1.47,-3.02,-5.38,1.87,14.47,6.44,4.35
1987,-5.49,-7.30,-3.82,2.94,7.75,12.01,17.97,16.78,13.39,8.94,2.70,-1.96,-5.27,2.29,15.59,8.34,5.24
1988,-5.74,-5.40,-3.03,1.85,9.83,12.29,17.49,17.97,12.22,7.55,4.12,-3.60,-4.37,2.88,15.92,7.96,5.60
