YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1882,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.69,999.90,999.90,999.90,999.90,999.90
1883,4.04,2.78,6.19,12.74,16.14,20.59,24.64,25.94,22.64,17.64,11.24,6.09,4.17,11.69,23.72,17.17,14.19
1884,3.69,3.69,6.94,12.23,16.14,20.73,24.49,25.04,23.54,16.89,8.54,4.49,4.49,11.77,23.42,16.32,14.00
1885,1.54,3.09,5.64,11.54,15.73,21.19,24.09,26.29,23.14,17.23,11.74,7.08,3.04,10.97,23.86,17.37,13.81
1886,3.79,3.03,7.84,13.49,17.23,21.89,26.19,27.64,24.54,17.79,11.59,5.84,4.63,12.85,25.24,17.97,15.17
1887,3.39,5.54,7.89,13.23,15.98,21.39,24.79,26.53,22.34,17.79,13.04,7.14,4.92,12.37,24.24,17.72,14.81
1888,4.48,3.34,8.09,13.59,16.84,19.48,25.78,26.78,22.09,16.24,12.74,6.54,4.99,12.84,24.01,17.02,14.72
1889,3.38,4.09,7.94,13.04,16.59,21.94,24.54,26.94,21.49,15.99,10.89,6.34,4.67,12.52,24.47,16.12,14.45
1890,4.44,7.04,9.99,14.98,16.79,22.99,24.44,26.69,25.34,17.09,11.98,10.49,5.94,13.92,24.71,18.14,15.68
1891,3.79,4.79,9.74,12.84,18.89,21.24,25.99,26.59,25.44,17.54,11.54,6.89,6.36,13.82,24.61,18.17,15.74
1892,4.89,4.99,6.14,13.79,17.39,22.04,26.84,27.59,24.09,17.54,11.04,4.43,5.59,12.44,25.49,17.56,15.27
1893,3.69,3.29,7.14,14.14,16.49,21.49,26.44,27.44,23.59,16.98,11.19,5.99,3.80,12.59,25.12,17.25,14.69
1894,4.14,4.68,9.29,14.84,16.89,24.69,28.09,28.24,23.09,16.64,12.89,6.99,4.94,13.67,27.01,17.54,15.79
1895,3.29,4.84,7.94,13.69,18.23,21.34,23.34,27.03,24.19,17.84,11.14,6.94,5.04,13.29,23.90,17.72,14.99
1896,4.48,4.74,6.99,14.59,17.48,22.69,25.34,27.24,23.49,17.09,11.89,6.08,5.39,13.02,25.09,17.49,15.25
1897,4.92,4.72,7.02,12.37,18.52,20.27,24.37,26.57,22.32,16.87,11.57,5.27,5.24,12.64,23.74,16.92,14.63
1898,5.07,5.81,7.07,12.52,17.77,20.61,27.17,27.77,23.12,17.56,12.52,8.07,5.38,12.45,25.18,17.73,15.19
1899,4.82,5.82,9.82,14.22,19.17,23.02,24.67,27.67,21.31,16.17,10.41,6.82,6.24,14.40,25.12,15.96,15.43
1900,2.97,4.62,7.07,12.72,18.67,20.72,24.22,27.67,24.22,18.22,12.62,7.32,4.80,12.82,24.20,18.35,15.04
1901,5.72,5.12,8.62,14.67,17.52,22.12,23.77,26.87,23.92,18.31,11.72,6.12,6.05,13.60,24.25,17.98,15.47
1902,4.12,4.96,9.67,12.77,17.52,21.31,23.32,24.32,24.12,18.12,13.12,8.77,5.07,13.32,22.98,18.45,14.96
1903,6.12,5.37,9.27,14.06,17.27,21.11,24.72,27.42,23.82,16.57,10.47,5.52,6.75,13.53,24.42,16.95,15.41
1904,3.47,5.72,7.57,14.57,16.97,23.27,26.32,26.67,22.57,17.87,10.57,6.62,4.90,13.04,25.42,17.00,15.09
1905,5.77,4.07,6.92,12.22,18.06,22.12,24.86,23.67,23.32,17.56,11.57,8.17,5.49,12.40,23.55,17.48,14.73
1906,3.52,3.87,8.52,14.02,17.56,19.77,25.07,25.97,21.06,16.52,10.66,7.52,5.19,13.37,23.60,16.08,14.56
1907,5.32,4.12,6.92,13.56,18.31,20.47,24.22,27.42,22.67,16.77,12.67,5.82,5.65,12.93,24.04,17.37,15.00
1908,4.56,4.82,7.47,13.42,17.36,22.37,23.62,27.02,20.97,17.62,10.47,6.22,5.07,12.75,24.34,16.35,14.63
1909,3.36,4.57,7.66,14.77,18.02,21.67,25.77,26.82,23.11,16.27,11.31,5.92,4.72,13.48,24.75,16.90,14.96
1910,5.67,4.12,7.22,13.52,18.12,22.07,24.32,25.61,22.32,17.37,12.07,5.72,5.24,12.95,24.00,17.25,14.86
1911,3.87,6.57,9.42,15.02,17.36,22.27,26.02,27.32,24.11,17.31,14.02,6.52,5.39,13.93,25.20,18.48,15.75
1912,4.67,7.42,9.41,13.92,17.99,21.49,25.79,26.84,21.48,17.43,10.64,6.39,6.20,13.77,24.71,16.52,15.30
