YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1985,999.90,999.90,999.90,999.90,999.90,999.90,999.90,21.21,18.70,11.64,5.73,-2.27,999.90,999.90,999.90,12.02,999.90
1986,-3.13,-3.90,2.01,7.72,13.60,16.83,21.28,20.32,999.90,11.17,5.33,1.40,-3.10,7.78,19.48,11.54,8.92
1987,999.90,999.90,3.49,9.16,13.92,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.86,999.90,999.90,999.90
1988,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1989,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1991,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1992,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1993,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1994,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,1.65,999.90,999.90,999.90,999.90,999.90
1995,-1.45,-4.44,3.12,4.93,999.90,19.63,21.95,999.90,16.27,12.28,3.02,-2.37,-1.41,7.16,21.10,10.52,9.34
1996,-4.47,-3.69,-1.00,4.92,10.71,17.34,19.55,22.01,18.28,10.92,2.72,1.55,-3.51,4.88,19.63,10.64,7.91
1997,-4.60,-1.29,1.38,6.11,999.90,18.78,19.75,19.58,16.72,10.27,4.34,1.10,-1.45,6.88,19.37,10.44,8.81
1998,999.90,1.26,2.18,9.16,16.36,18.29,21.18,22.33,18.98,11.88,6.05,2.55,0.47,9.23,20.60,12.30,10.65
1999,-3.60,-0.01,1.38,8.37,14.45,19.19,999.90,999.90,999.90,10.46,6.24,1.56,-0.35,8.07,999.90,11.64,10.28
2000,-3.67,-0.91,4.68,6.78,13.20,17.35,20.09,20.86,16.82,11.66,4.28,-4.44,-1.01,8.22,19.43,10.92,9.39
2001,-1.89,-1.07,1.02,8.10,13.28,18.91,20.02,22.85,17.41,10.71,7.40,3.46,-2.47,7.47,20.59,11.84,9.36
2002,1.49,0.34,1.66,6.76,10.96,20.12,24.25,22.69,20.58,9.83,3.90,-0.80,1.76,6.46,22.35,11.44,10.50
2003,-6.59,-5.65,0.25,5.30,12.67,18.47,21.57,22.56,17.69,10.10,5.58,0.86,-4.35,6.07,20.87,11.12,8.43
2004,-8.05,-2.12,3.04,7.27,13.46,17.88,20.97,19.85,18.75,11.06,6.11,-1.67,-3.10,7.92,19.57,11.97,9.09
2005,-5.49,-2.36,-0.50,8.49,12.41,22.62,24.18,22.99,19.52,11.69,6.25,-2.33,-3.17,6.80,23.26,12.49,9.84
2006,0.97,-2.49,2.28,8.79,14.92,19.70,23.27,21.42,16.13,9.55,6.26,2.71,-1.28,8.66,21.46,10.65,9.87
2007,-1.79,-6.98,1.32,6.78,14.93,20.83,21.28,22.56,18.38,14.44,3.67,-1.32,-2.02,7.68,21.56,12.16,9.84
2008,-0.99,-3.60,-0.46,10.08,12.73,19.82,22.03,20.48,17.67,10.03,4.21,-1.97,-1.97,7.45,20.78,10.64,9.22
2009,-7.12,-2.14,1.89,8.38,13.94,17.98,19.66,21.38,17.73,9.31,7.41,-1.19,-3.74,8.07,19.67,11.48,8.87
2010,-4.30,-2.20,5.44,11.26,17.07,19.85,23.76,22.57,16.84,10.87,5.71,-2.87,-2.56,11.26,22.06,11.14,10.47
2011,-5.33,-3.89,0.61,7.51,14.37,19.64,24.72,22.34,18.35,11.34,7.42,1.84,-4.03,7.50,22.23,12.37,9.52
2012,-0.71,0.76,7.08,7.95,16.93,20.85,24.52,21.96,17.06,10.97,4.62,1.82,0.63,10.65,22.44,10.88,11.15
2013,-1.09,-3.09,1.27,6.73,15.44,19.11,22.58,21.17,16.40,12.18,3.11,-3.53,-0.79,7.81,20.95,10.56,9.64
2014,-7.11,-6.27,-2.89,6.72,14.46,20.16,20.54,20.74,17.06,11.36,2.72,0.76,-5.64,6.10,20.48,10.38,7.83
2015,-6.25,-11.17,-0.88,8.03,16.13,18.38,21.76,21.00,19.88,10.57,7.40,4.96,-5.55,7.76,20.38,12.62,8.80
2016,-2.37,-1.32,3.40,6.03,15.40,19.97,23.69,24.28,19.72,12.43,7.63,-0.44,0.42,8.28,22.65,13.26,11.15
2017,-0.59,0.53,0.18,9.56,12.52,19.32,21.68,20.45,19.14,13.97,4.67,-3.95,-0.17,7.42,20.48,12.59,10.08
2018,-4.44,-0.64,0.99,4.31,16.90,19.62,23.36,23.42,19.36,9.56,2.26,0.80,-3.01,7.40,22.13,10.39,9.23
2019,-5.41,-2.99,0.10,7.09,12.31,18.66,23.42,21.47,17.93,11.60,1.98,0.48,-2.53,6.50,21.18,10.50,8.91
2020,-0.55,-1.96,3.90,6.55,12.73,20.85,25.35,22.32,17.35,10.06,7.50,0.71,-0.68,7.73,22.84,11.64,10.38
2021,-1.42,-3.85,3.95,8.37,14.35,21.38,21.53,24.06,18.39,14.00,5.16,2.45,-1.52,8.89,22.32,12.52,10.55
2022,-6.80,-3.14,2.20,7.17,16.09,19.54,22.72,22.84,18.15,11.21,6.04,0.61,-2.50,8.49,21.70,11.80,9.87
2023,0.18,-0.16,1.95,9.46,14.27,19.73,22.72,20.65,19.26,12.79,4.77,3.59,0.21,8.56,21.03,12.27,10.52
2024,-1.20,1.51,4.53,9.07,16.89,20.34,22.89,21.69,19.29,12.64,7.49,0.55,1.30,10.16,21.64,13.14,11.56
2025,-4.25,-3.55,3.10,8.10,13.55,20.85,24.40,21.75,18.75,12.80,4.80,-2.20,-2.42,8.25,22.33,12.12,10.07
2026,-5.40,-4.20,2.70,8.60,13.35,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-3.93,8.22,999.90,999.90,999.90
